train/learning_rate,train/n_updates,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/actor_loss,time/total_timesteps,train/ent_coef,train/critic_loss,train/ent_coef_loss,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.0003,77,4,-24.2743205,44.5,190,-10.231101989746094,178,0.9774243831634521,2.6864185333251953,-0.30727311968803406,0,,
0.0003,399,,,,,-14.457757949829102,500,0.887477695941925,1.371950626373291,-1.5914462804794312,,964.7048652200001,1000.0
0.0003,407,8,-25.936262999999997,63.5,9,-14.702346801757812,508,0.8853546380996704,2.1067821979522705,-1.6247804164886475,52,,
0.0003,616,12,-21.37499133333333,59.75,13,-17.446075439453125,717,0.8317243456840515,1.923902988433838,-2.443696975708008,54,,
0.0003,899,,,,,-20.931350708007812,1000,0.7647784948348999,2.065704822540283,-3.50126576423645,,829.59267738,1000.0
0.0003,918,16,-32.0769619375,63.6875,9,-20.899377822875977,1019,0.7605074644088745,2.270592451095581,-3.561941623687744,106,,
0.0003,1191,20,-37.098906500000005,64.6,11,-24.113632202148438,1292,0.7017254829406738,2.2549333572387695,-4.5829010009765625,108,,
0.0003,1399,,,,,-26.205291748046875,1500,0.6601210832595825,1.7382792234420776,-5.265994071960449,,737.49689902,983.68
0.0003,1899,,,,,-29.870849609375,2000,0.5709340572357178,2.3180789947509766,-6.870968818664551,,537.5692375,957.0
0.0003,2399,,,,,-32.449119567871094,2500,0.4947482943534851,2.1811206340789795,-8.37196159362793,,227.55123254000003,654.24
0.0003,2899,,,,,-33.8134880065918,3000,0.429067999124527,2.6783902645111084,-9.769041061401367,,96.19162784,603.74
0.0003,3399,,,,,-33.845401763916016,3500,0.37251487374305725,2.36488676071167,-11.035577774047852,,2.049087659999998,670.0
0.0003,3420,24,-85.76470412500002,146.70833333333334,11,-34.9958381652832,3521,0.3703239858150482,2.5817482471466064,-10.669384002685547,319,,
0.0003,3508,28,-77.06187121428573,128.89285714285714,11,-34.27287292480469,3609,0.3612823486328125,11.238204002380371,-11.530524253845215,320,,
0.0003,3795,32,-74.69897521875001,121.75,12,-34.53876495361328,3896,0.33314189314842224,5.262607574462891,-12.142790794372559,322,,
0.0003,3899,,,,,-34.51535415649414,4000,0.3234688937664032,11.090019226074219,-12.310091972351074,,8.046157820000003,573.66
0.0003,4399,,,,,-34.35905075073242,4500,0.2811034321784973,4.004484176635742,-13.288697242736816,,-24.186476479999996,328.04
0.0003,4884,36,-89.3842408888889,138.47222222222223,13,-34.523773193359375,4985,0.24576422572135925,3.3490214347839355,-14.346231460571289,376,,
0.0003,4899,,,,,-34.162254333496094,5000,0.2447420060634613,3.8655452728271484,-13.75256633758545,,-45.88629965999999,269.84
0.0003,5399,,,,,-33.51385498046875,5500,0.21299491822719574,3.303271770477295,-14.924354553222656,,-93.72154585999999,449.14
0.0003,5899,,,,,-32.229061126708984,6000,0.1851925402879715,4.269789695739746,-16.055822372436523,,-98.15305966,491.28
0.0003,6112,40,-104.90639810000002,155.325,13,-31.382308959960938,6213,0.1745232194662094,3.7205653190612793,-15.913089752197266,447,,
0.0003,6399,,,,,-30.345849990844727,6500,0.16106992959976196,3.2106761932373047,-16.406455993652344,,-109.90450198,317.0
0.0003,6899,,,,,-28.039657592773438,7000,0.14002317190170288,3.1384594440460205,-16.959043502807617,,-117.35781242000002,372.74
