time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
0,87.850989,4,1969,18.75,75,,,,,,,,
0,91.263631875,8,164,19.625,157,0.0003,-23.292945861816406,66.55431365966797,56,-0.482692152261734,0.9825918674468994,,
2,101.18979966666666,12,123,21.583333333333332,259,0.0003,-28.471485137939453,14.46431827545166,158,-1.3898813724517822,0.9514244198799133,,
3,106.0402419375,16,114,22.5,360,0.0003,-32.778053283691406,11.700666427612305,259,-2.2782094478607178,0.9220440983772278,,
4,109.11528765,20,109,23.35,467,0.0003,-36.01122283935547,11.31298542022705,366,-3.189876079559326,0.8922531604766846,,
,,,,,500,0.0003,-37.84006118774414,14.58736801147461,399,-3.492408514022827,0.8833111524581909,102.52166387999999,20.96
6,106.68870216666666,24,85,22.875,549,0.0003,-39.855812072753906,11.089885711669922,448,-3.9029674530029297,0.8702067732810974,,
7,103.49579464285715,28,87,22.214285714285715,622,0.0003,-42.44642639160156,11.890562057495117,521,-4.531466007232666,0.851095974445343,,
7,101.59658478125002,32,88,21.90625,701,0.0003,-45.84932327270508,11.149112701416016,600,-5.217862129211426,0.8309314250946045,,
8,99.13796272222224,36,89,21.38888888888889,770,0.0003,-48.88390350341797,11.31007194519043,669,-5.7769598960876465,0.8137491941452026,,
9,98.217560475,40,91,21.2,848,0.0003,-50.089813232421875,17.294979095458984,747,-6.442764759063721,0.7947728633880615,,
9,96.42942729545456,44,92,20.84090909090909,917,0.0003,-54.986083984375,11.947900772094727,816,-7.013577938079834,0.778417706489563,,
10,94.61557208333333,48,92,20.479166666666668,983,0.0003,-58.17314910888672,16.15512466430664,882,-7.52856969833374,0.7631322145462036,,
,,,,,1000,0.0003,-57.76043701171875,16.287765502929688,899,-7.647104740142822,0.759251594543457,76.91933868,16.68
12,94.07605688461538,52,84,20.365384615384617,1059,0.0003,-59.282310485839844,18.351728439331055,958,-8.128588676452637,0.7459693551063538,,
13,92.69333860714285,56,84,20.089285714285715,1125,0.0003,-63.8876953125,19.753143310546875,1024,-8.684944152832031,0.7314081788063049,,
14,91.65532488333332,60,84,19.866666666666667,1192,0.0003,-64.5812759399414,14.578620910644531,1091,-9.244705200195312,0.7169346213340759,,
14,90.6462545625,64,84,19.65625,1258,0.0003,-68.89957427978516,17.070228576660156,1157,-9.706826210021973,0.702953040599823,,
