rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,eval/mean_reward,eval/mean_ep_length
87.850989,4,0,75,1947,18.75,,,,,,
80.685714375,8,0,142,305,17.75,41,-3.6849734783172607,0.001,12.155143737792969,,
71.23970949999999,12,0,195,249,16.25,94,-4.267658233642578,0.001,6.868141174316406,,
67.0126578125,16,1,249,223,15.5625,148,-4.848684310913086,0.001,2.8661012649536133,,
64.37273404999999,20,1,302,211,15.1,201,-5.216477870941162,0.001,1.4993534088134766,,
62.26495591666666,24,1,353,203,14.708333333333334,252,-6.213373184204102,0.001,1.9002405405044556,,
60.81515692857142,28,2,404,194,14.428571428571429,303,-6.548363208770752,0.001,1.7825443744659424,,
60.71949340625,32,2,461,189,14.40625,360,-6.729917049407959,0.001,1.7378387451171875,,
,,,500,,,399,-7.222299575805664,0.001,1.4679616689682007,57.04891076,14.48
60.482283861111114,36,3,520,146,14.444444444444445,419,-6.94902229309082,0.001,3.352621555328369,,
60.52159735,40,3,582,146,14.55,481,-7.800127983093262,0.001,3.0727243423461914,,
60.70033902272728,44,4,644,146,14.636363636363637,543,-8.483065605163574,0.001,1.654503345489502,,
60.40556745833334,48,4,704,146,14.666666666666666,603,-9.407153129577637,0.001,2.023005485534668,,
60.13204723076923,52,5,764,146,14.692307692307692,663,-9.531543731689453,0.001,1.0803776979446411,,
60.07063226785714,56,5,824,146,14.714285714285714,723,-9.874645233154297,0.001,0.6004226803779602,,
59.89206375,60,6,884,146,14.733333333333333,783,-10.579978942871094,0.001,0.9346851706504822,,
59.659996203125004,64,6,944,146,14.75,843,-10.865791320800781,0.001,0.5532335638999939,,
,,,1000,,,899,-11.414301872253418,0.001,1.6688100099563599,57.33392333999999,15.32
59.43080992647059,68,7,1004,131,14.764705882352942,903,-11.759014129638672,0.001,0.6541744470596313,,
59.14723291666667,72,7,1064,133,14.777777777777779,963,-11.439779281616211,0.001,1.078538179397583,,
58.87237286842104,76,8,1124,134,14.789473684210526,1023,-12.119564056396484,0.001,0.7327460050582886,,
58.6236508125,80,8,1184,135,14.8,1083,-12.186938285827637,0.001,0.3936378061771393,,
58.49848729761906,84,9,1244,135,14.80952380952381,1143,-12.71520709991455,0.001,0.8688452839851379,,
58.36828043181818,88,9,1303,136,14.806818181818182,1202,-12.997007369995117,0.001,0.5134754180908203,,
58.26185386956522,92,9,1363,136,14.815217391304348,1262,-13.975822448730469,0.001,0.6003433465957642,,
58.12060175,96,10,1422,137,14.8125,1321,-14.527115821838379,0.001,0.8518838286399841,,
58.06469422,100,10,1482,138,14.82,1381,-13.692401885986328,0.001,0.602324903011322,,
,,,1500,,,1399,-14.578187942504883,0.001,0.5684661865234375,56.1184284,14.98
56.75671822,104,11,1542,129,14.67,1441,-14.104084014892578,0.001,0.3980724811553955,,
55.93988173000002,108,12,1602,130,14.6,1501,-14.691253662109375,0.001,0.8207307457923889,,
56.00225420000002,112,12,1661,131,14.66,1560,-14.420522689819336,0.001,1.0400811433792114,,
56.118374489999994,116,13,1721,132,14.72,1620,-14.886859893798828,0.001,1.2521109580993652,,
56.32073406000001,120,13,1782,133,14.8,1681,-16.39689064025879,0.001,1.0244183540344238,,
56.53888886,124,13,1843,133,14.9,1742,-16.442058563232422,0.001,1.2410237789154053,,
56.71313579999999,128,14,1902,134,14.98,1801,-16.28166961669922,0.001,1.7731044292449951,,
56.63261916,132,14,1961,134,15.0,1860,-17.052352905273438,0.001,1.4830673933029175,,
,,,2000,,,1899,-16.614971160888672,0.001,2.012857675552368,59.525973539999995,15.0
56.65605109,136,15,2021,127,15.01,1920,-17.82534408569336,0.001,1.988983154296875,,
56.599816929999996,140,16,2081,127,14.99,1980,-18.161052703857422,0.001,2.0611343383789062,,
56.476646900000006,144,16,2141,128,14.97,2040,-18.5742130279541,0.001,2.2249410152435303,,
56.58565367000001,148,17,2201,129,14.97,2100,-18.65277671813965,0.001,1.0425195693969727,,
56.68392294,152,17,2261,129,14.97,2160,-19.462928771972656,0.001,0.9915668964385986,,
56.69690135999999,156,17,2321,130,14.97,2220,-19.599220275878906,0.001,1.2038164138793945,,
56.798065120000004,160,18,2381,130,14.97,2280,-20.538434982299805,0.001,0.6561849117279053,,
56.94080228999999,164,18,2441,131,14.97,2340,-20.355918884277344,0.001,0.6244823336601257,,
,,,2500,,,2399,-20.13983917236328,0.001,0.6637397408485413,59.74622656,15.0
