time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
4,0,24,44.256144,6.0,3765,,,,,,
8,0,48,44.4103125,6.0,3559,,,,,,
12,0,76,47.51185883333333,6.333333333333333,3688,,,,,,
16,0,101,47.322633625,6.3125,994,,,,,,
20,0,119,43.9617906,5.95,334,0.001,18,54.10253143310547,-5.45137357711792,,
24,0,134,40.491195958333336,5.583333333333333,302,0.001,33,16.76323699951172,-7.278030872344971,,
28,0,148,37.71518903571429,5.285714285714286,281,0.001,47,15.615538597106934,-8.36663818359375,,
32,0,161,35.375184499999996,5.03125,266,0.001,60,13.752470016479492,-7.806713104248047,,
36,0,174,33.55783538888888,4.833333333333333,255,0.001,73,12.71898078918457,-7.946249485015869,,
40,0,187,32.097868525,4.675,247,0.001,86,13.55693244934082,-7.415127277374268,,
44,0,202,31.277414136363642,4.590909090909091,239,0.001,101,13.805249214172363,-7.626924514770508,,
48,0,215,30.252456645833334,4.479166666666667,232,0.001,114,14.373455047607422,-7.688976287841797,,
52,1,229,29.54650476923077,4.403846153846154,227,0.001,128,12.162470817565918,-7.820931911468506,,
56,1,244,29.095660071428572,4.357142857142857,222,0.001,143,11.308467864990234,-8.327303886413574,,
60,1,260,28.861557899999998,4.333333333333333,218,0.001,159,10.792156219482422,-8.197196960449219,,
64,1,276,28.687306031250003,4.3125,215,0.001,175,8.511527061462402,-8.139215469360352,,
68,1,313,31.412083161764706,4.602941176470588,209,0.001,212,9.481134414672852,-8.860651016235352,,
72,1,345,33.17605776388889,4.791666666666667,206,0.001,244,11.065471649169922,-9.587629318237305,,
76,1,371,34.01029530263158,4.881578947368421,204,0.001,270,8.940790176391602,-10.085524559020996,,
80,1,394,34.4070165375,4.925,202,0.001,293,8.606596946716309,-10.285991668701172,,
84,2,420,35.102081416666664,5.0,201,0.001,319,9.12505054473877,-10.92776870727539,,
88,2,449,36.04789734090909,5.1022727272727275,200,0.001,348,8.430587768554688,-11.238655090332031,,
92,2,468,35.908446358695656,5.086956521739131,199,0.001,367,10.00020980834961,-11.389511108398438,,
96,2,493,36.34869313541667,5.135416666666667,197,0.001,392,7.920238018035889,-11.704675674438477,,
,,500,,,,0.001,399,12.817548751831055,-10.375953674316406,48.04348536,6.4
100,2,520,36.9478521,5.2,177,0.001,419,6.808128356933594,-11.54838752746582,,
104,3,546,37.1372433,5.22,176,0.001,445,5.849650859832764,-12.207304954528809,,
108,3,570,37.131898850000006,5.22,176,0.001,469,7.252326965332031,-11.785846710205078,,
112,3,596,36.95300965,5.2,175,0.001,495,6.398141860961914,-12.251800537109375,,
116,3,641,38.81525086,5.4,175,0.001,540,4.013866424560547,-13.5965576171875,,
120,3,685,41.24443928000001,5.66,174,0.001,584,3.90726900100708,-13.421825408935547,,
124,4,741,45.07338852000001,6.07,175,0.001,640,5.335562705993652,-15.235172271728516,,
128,4,792,48.52131264000001,6.44,175,0.001,691,2.584001064300537,-15.232290267944336,,
132,4,840,51.787491100000004,6.79,174,0.001,739,3.941802978515625,-16.429725646972656,,
136,5,883,54.594839740000005,7.09,174,0.001,782,2.3131308555603027,-16.578596115112305,,
140,5,926,57.41186586,7.39,174,0.001,825,6.407305717468262,-17.663951873779297,,
144,5,971,60.24142266,7.69,173,0.001,870,3.3406810760498047,-18.10883903503418,,
,,1000,,,,0.001,899,2.8106350898742676,-19.21356773376465,93.89968404,11.24
148,6,1014,63.053873169999996,7.99,160,0.001,913,3.455681562423706,-19.128646850585938,,
152,6,1056,65.69014597,8.27,161,0.001,955,2.052126407623291,-18.451618194580078,,
