time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0,25,4,6.25,522,5.25,,,,,,
0,58,8,7.25,1037,6.25,,,,,,
0,77,12,6.416666666666667,1297,5.416666666666667,,,,,,
0,92,16,5.75,1482,4.75,,,,,,
0,109,20,5.45,374,4.45,8,0.001,-0.6074399948120117,0.2871352434158325,,
0,121,24,5.041666666666667,328,4.041666666666667,20,0.001,-0.7753599286079407,0.18498820066452026,,
0,133,28,4.75,298,3.75,32,0.001,-0.8170264959335327,0.16606050729751587,,
0,145,32,4.53125,278,3.53125,44,0.001,-0.8081215620040894,0.09700571000576019,,
0,157,36,4.361111111111111,258,3.361111111111111,56,0.001,-0.7832150459289551,0.10942815244197845,,
0,169,40,4.225,246,3.225,68,0.001,-0.78688645362854,0.1282098889350891,,
0,181,44,4.113636363636363,238,3.1136363636363638,80,0.001,-0.7965573072433472,0.11038718372583389,,
0,193,48,4.020833333333333,230,3.0208333333333335,92,0.001,-0.8174606561660767,0.050823647528886795,,
0,205,52,3.9423076923076925,225,2.9423076923076925,104,0.001,-0.7951638698577881,0.08291569352149963,,
0,217,56,3.875,220,2.875,116,0.001,-0.8309839963912964,0.06655016541481018,,
1,229,60,3.816666666666667,214,2.816666666666667,128,0.001,-0.8387712240219116,0.05209541320800781,,
1,241,64,3.765625,210,2.765625,140,0.001,-0.8610606789588928,0.0818963572382927,,
1,253,68,3.7205882352941178,205,2.7205882352941178,152,0.001,-0.8660130500793457,0.05457162484526634,,
1,265,72,3.6805555555555554,202,2.6805555555555554,164,0.001,-0.8048226833343506,0.06737645715475082,,
1,277,76,3.6447368421052633,200,2.6447368421052633,176,0.001,-0.8316986560821533,0.06564002484083176,,
1,289,80,3.6125,198,2.6125,188,0.001,-0.8556866645812988,0.06659341603517532,,
1,301,84,3.5833333333333335,195,2.5833333333333335,200,0.001,-0.8475720882415771,0.035806186497211456,,
1,313,88,3.5568181818181817,194,2.5568181818181817,212,0.001,-0.8165320158004761,0.04537537321448326,,
1,325,92,3.532608695652174,192,2.532608695652174,224,0.001,-0.8490890264511108,0.038605693727731705,,
1,337,96,3.5104166666666665,191,2.5104166666666665,236,0.001,-0.822645366191864,0.027129583060741425,,
1,349,100,3.49,189,2.49,248,0.001,-0.7795711755752563,0.06158125400543213,,
1,361,104,3.36,187,2.36,260,0.001,-0.7462140321731567,0.05108080059289932,,
2,373,108,3.15,186,2.15,272,0.001,-0.7824370861053467,0.033367738127708435,,
2,385,112,3.08,185,2.08,284,0.001,-0.7962664365768433,0.023546040058135986,,
2,397,116,3.05,183,2.05,296,0.001,-0.8542296886444092,0.02366100251674652,,
2,409,120,3.0,181,2.0,308,0.001,-0.7617348432540894,0.03078867308795452,,
2,421,124,3.0,180,2.0,320,0.001,-0.8279182314872742,0.021876752376556396,,
2,433,128,3.0,179,2.0,332,0.001,-0.7920591235160828,0.03388134762644768,,
2,445,132,3.0,178,2.0,344,0.001,-0.7915297150611877,0.027010787278413773,,
2,457,136,3.0,178,2.0,356,0.001,-0.8341357707977295,0.020481206476688385,,
2,469,140,3.0,177,2.0,368,0.001,-0.809433102607727,0.027542855590581894,,
2,481,144,3.0,176,2.0,380,0.001,-0.8501033186912537,0.018951961770653725,,
2,493,148,3.0,175,2.0,392,0.001,-0.8030595779418945,0.024625668302178383,,
,500,,,,,399,0.001,-0.7795817852020264,0.01631120592355728,3.0,2.0
3,505,152,3.0,166,2.0,404,0.001,-0.8468323945999146,0.017016075551509857,,
3,517,156,3.0,165,2.0,416,0.001,-0.8000116348266602,0.016508828848600388,,
3,529,160,3.0,164,2.0,428,0.001,-0.7846082448959351,0.021379567682743073,,
3,541,164,3.0,163,2.0,440,0.001,-0.7764991521835327,0.02369806170463562,,
3,553,168,3.0,163,2.0,452,0.001,-0.8805416822433472,0.01960381679236889,,
3,565,172,3.0,163,2.0,464,0.001,-0.8211688995361328,0.018234875053167343,,
3,577,176,3.0,164,2.0,476,0.001,-0.8168614506721497,0.00843415129929781,,
3,589,180,3.0,163,2.0,488,0.001,-0.854231595993042,0.010958228260278702,,
3,601,184,3.0,163,2.0,500,0.001,-0.821365475654602,0.0053548309952020645,,
3,613,188,3.0,164,2.0,512,0.001,-0.8233705759048462,0.010884387418627739,,
3,625,192,3.0,164,2.0,524,0.001,-0.8364084959030151,0.01689250022172928,,
3,637,196,3.0,163,2.0,536,0.001,-0.9568308591842651,0.009303988888859749,,
3,649,200,3.0,163,2.0,548,0.001,-0.9855409860610962,0.011004941537976265,,
4,661,204,3.0,163,2.0,560,0.001,-0.8338454961776733,0.013623787090182304,,
4,673,208,3.0,164,2.0,572,0.001,-0.9567582607269287,0.007059276569634676,,
4,685,212,3.0,164,2.0,584,0.001,-0.9033975601196289,0.009898616932332516,,
4,697,216,3.0,164,2.0,596,0.001,-0.8380991220474243,0.02857905998826027,,
4,709,220,3.0,164,2.0,608,0.001,-0.8742378950119019,0.00885399803519249,,
4,721,224,3.0,164,2.0,620,0.001,-0.9488844275474548,0.007694434840232134,,
4,733,228,3.0,164,2.0,632,0.001,-0.8253087401390076,0.009832656010985374,,
4,745,232,3.0,164,2.0,644,0.001,-0.833200216293335,0.007888155058026314,,
4,757,236,3.0,164,2.0,656,0.001,-0.967839241027832,0.007581286132335663,,
4,769,240,3.0,165,2.0,668,0.001,-0.924912691116333,0.0058961655013263226,,
4,781,244,3.0,165,2.0,680,0.001,-0.9243658781051636,0.006055972073227167,,
4,793,248,3.0,165,2.0,692,0.001,-0.8911659121513367,0.005883998237550259,,
4,805,252,3.0,165,2.0,704,0.001,-0.9431869983673096,0.009095467627048492,,
4,817,256,3.0,165,2.0,716,0.001,-0.9642288684844971,0.007917853072285652,,
5,833,260,3.04,165,2.04,732,0.001,-1.2131226062774658,0.0073224520310759544,,
5,872,264,3.31,165,2.31,771,0.001,-1.5358936786651611,0.05004548281431198,,
5,913,268,3.6,165,2.6,812,0.001,-1.6543467044830322,0.019546054303646088,,
5,959,272,3.94,166,2.94,858,0.001,-1.8204489946365356,0.09808874130249023,,
,1000,,,,,899,0.001,-1.9284253120422363,0.22819839417934418,41.9,40.9
8,1109,276,5.32,133,4.32,1008,0.001,-2.0728471279144287,0.08549894392490387,,
9,1288,280,6.99,136,5.99,1187,0.001,-2.4928810596466064,0.054526589810848236,,
10,1490,284,8.89,139,7.89,1389,0.001,-2.9843034744262695,0.15851886570453644,,
,1500,,,,,1399,0.001,-2.995112895965576,0.14710214734077454,45.06,44.06
13,1674,288,10.61,124,9.61,1573,0.001,-3.56626558303833,0.08861053735017776,,
14,1860,292,12.35,127,11.35,1759,0.001,-3.8720104694366455,0.1003195196390152,,
,2000,,,,,1899,0.001,-3.982879638671875,0.11670228838920593,50.4,49.4
17,2062,296,14.25,116,13.25,1961,0.001,-4.212310314178467,0.13134874403476715,,
18,2257,300,16.08,119,15.08,2156,0.001,-4.48040771484375,0.11358175426721573,,
19,2434,304,17.73,122,16.73,2333,0.001,-4.762269020080566,0.13228249549865723,,
,2500,,,,,2399,0.001,-5.133809566497803,0.057930320501327515,42.08,41.08
22,2602,308,19.29,115,18.29,2501,0.001,-4.933825492858887,0.0914183259010315,,
23,2762,312,20.77,117,19.77,2661,0.001,-5.471392631530762,0.09859935939311981,,
24,2921,316,22.24,119,21.24,2820,0.001,-5.638683319091797,0.1160319447517395,,
,3000,,,,,2899,0.001,-6.008059024810791,0.40889596939086914,39.28,38.28
27,3076,320,23.67,113,22.67,2975,0.001,-6.126902103424072,0.10579074174165726,,
27,3233,324,25.12,115,24.12,3132,0.001,-6.176511764526367,0.1353907436132431,,
28,3389,328,26.56,116,25.56,3288,0.001,-6.920435905456543,0.3501473665237427,,
,3500,,,,,3399,0.001,-6.79408597946167,0.1545131504535675,39.76,38.76
32,3548,332,28.03,110,27.03,3447,0.001,-7.0630083084106445,0.12461086362600327,,
33,3712,336,29.55,111,28.55,3611,0.001,-6.788617134094238,0.1704322248697281,,
34,3880,340,31.11,113,30.11,3779,0.001,-7.115472793579102,0.1529676914215088,,
,4000,,,,,3899,0.001,-7.368356704711914,0.1696864515542984,44.08,43.08
36,4053,344,32.72,109,31.72,3952,0.001,-7.764793395996094,0.16569186747074127,,
37,4231,348,34.38,111,33.38,4130,0.001,-7.916330337524414,0.366899311542511,,
39,4411,352,36.06,112,35.06,4310,0.001,-8.11621379852295,0.10544773191213608,,
,4500,,,,,4399,0.001,-7.888862609863281,1.1926844120025635,44.26,43.26
41,4594,356,37.77,109,36.77,4493,0.001,-8.411406517028809,0.1904100626707077,,
42,4776,360,39.43,111,38.43,4675,0.001,-8.698970794677734,0.22709119319915771,,
44,4955,364,40.83,112,39.83,4854,0.001,-9.456106185913086,0.19334186613559723,,
,5000,,,,,4899,0.001,-8.907726287841797,0.14120209217071533,45.28,44.28
47,5136,368,42.23,109,41.23,5035,0.001,-8.78735065460205,0.19574618339538574,,
48,5316,372,43.57,110,42.57,5215,0.001,-9.42563247680664,0.5275495052337646,,
49,5499,376,43.9,111,42.9,5398,0.001,-9.620853424072266,0.23242172598838806,,
,5500,,,,,5399,0.001,,0.15279467403888702,47.52,46.52
52,5682,380,43.94,108,42.94,5581,0.001,-9.875205993652344,0.2396734356880188,,
53,5870,384,43.8,110,42.8,5769,0.001,-9.7321195602417,0.36249101161956787,,
,6000,,,,,5899,0.001,-10.587116241455078,0.14074259996414185,47.12,46.12
56,6059,388,43.85,107,42.85,5958,0.001,-9.879453659057617,0.11962929368019104,,
57,6248,392,43.88,108,42.88,6147,0.001,-10.685126304626465,0.21282699704170227,,
58,6445,396,43.83,109,42.83,6344,0.001,-10.748465538024902,0.13338226079940796,,
,6500,,,,,6399,0.001,-10.970827102661133,0.15853208303451538,48.32,47.32
61,6638,400,43.81,107,42.81,6537,0.001,-11.312610626220703,0.4168839752674103,,
62,6838,404,44.04,108,43.04,6737,0.001,-11.353960990905762,0.12119222432374954,,
,7000,,,,,6899,0.001,-12.383591651916504,0.30973780155181885,60.76,59.76
66,7066,408,44.64,106,43.64,6965,0.001,-11.813817977905273,0.21864381432533264,,
68,7306,412,45.44,107,44.44,7205,0.001,-12.365723609924316,0.2942572832107544,,
,7500,,,,,7399,0.001,-12.354395866394043,0.43848296999931335,66.92,65.92
72,7576,416,46.55,104,45.55,7475,0.001,-12.149219512939453,0.28224116563796997,,
73,7827,420,47.51,105,46.51,7726,0.001,-12.630561828613281,0.2532176971435547,,
,8000,,,,,7899,0.001,-12.837711334228516,0.5376973748207092,61.88,60.88
77,8075,424,48.42,103,47.42,7974,0.001,-13.072423934936523,0.24944037199020386,,
79,8357,428,49.68,105,48.68,8256,0.001,-13.174423217773438,0.2884083390235901,,
,8500,,,,,8399,0.001,-13.467679977416992,0.21096733212471008,71.24,70.24
83,8604,432,50.56,102,49.56,8503,0.001,-14.219659805297852,0.26696303486824036,,
85,8851,436,51.39,104,50.39,8750,0.001,-14.570672988891602,0.18357396125793457,,
,9000,,,,,8899,0.001,-14.122535705566406,0.20972473919391632,59.32,58.32
88,9085,440,52.05,102,51.05,8984,0.001,-14.502113342285156,0.1249224841594696,,
90,9317,444,52.64,103,51.64,9216,0.001,-14.533618927001953,0.08091631531715393,,
,9500,,,,,9399,0.001,-15.241467475891113,0.2393142282962799,54.68,53.68
94,9556,448,53.25,101,52.25,9455,0.001,-14.443167686462402,0.16315004229545593,,
95,9802,452,53.91,102,52.91,9701,0.001,-13.878971099853516,0.24616461992263794,,
96,9966,456,53.72,103,52.72,9865,0.001,-15.15584945678711,0.1864205300807953,,
,10000,,,,,9899,0.001,-15.561408996582031,0.6006892919540405,38.98,37.98
99,10123,460,53.47,101,52.47,10022,0.001,-14.935271263122559,0.16849996149539948,,
100,10269,464,53.14,102,52.14,10168,0.001,-15.829233169555664,0.16925159096717834,,
101,10470,468,53.34,103,52.34,10369,0.001,-16.644203186035156,0.18668097257614136,,
,10500,,,,,10399,0.001,-15.536705017089844,0.339980810880661,50.56,49.56
