time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,time/fps,train/actor_loss,eval/mean_ep_length,eval/mean_reward
2,4,0.0003,299,0.2612174451351166,-1.0532841682434082,-151.46677449999999,0.9144091010093689,400,100.0,158,-10.248212814331055,,
,,0.0003,399,0.2198573350906372,-1.402362585067749,,0.887391984462738,500,,,-10.900752067565918,100.0,-48.23731724000001
8,8,0.0003,699,0.15642207860946655,-2.4576473236083984,-150.66220562499998,0.8110917210578918,800,100.0,95,-13.209362030029297,,
,,0.0003,899,0.12834498286247253,-3.1552577018737793,,0.7639230489730835,1000,,,-14.706686973571777,100.0,-57.35065180000001
17,12,0.0003,1099,0.11936022341251373,-3.860858678817749,-151.0155988333333,0.7194942235946655,1200,100.0,69,-16.02812957763672,,
,,0.0003,1399,0.11077778041362762,-4.898515701293945,,0.6576077938079834,1500,,,-17.671794891357422,100.0,-54.502018279999994
28,16,0.0003,1499,0.1334218680858612,-5.265122413635254,-151.14111025,0.6381809711456299,1600,100.0,56,-18.053958892822266,,
,,0.0003,1899,0.07916201651096344,-6.663313865661621,,0.5660703182220459,2000,,,-19.663463592529297,100.0,-47.24263496
40,20,,,,,-149.29100795,,2000,100.0,48,,,
45,24,0.0003,2299,0.09669564664363861,-8.101968765258789,-147.87776641666667,0.5021623969078064,2400,100.0,52,-20.443105697631836,,
,,0.0003,2399,0.08790922909975052,-8.390795707702637,,0.48736682534217834,2500,,,-20.61762046813965,100.0,-45.82632665999999
58,28,0.0003,2699,0.08658910542726517,-9.381948471069336,-146.85728989285715,0.44557592272758484,2800,100.0,48,-21.128406524658203,,
,,0.0003,2899,0.07965173572301865,-10.048480033874512,,0.4197661578655243,3000,,,-21.070280075073242,100.0,-46.51151144000001
70,32,0.0003,3099,0.07541787624359131,-10.697407722473145,-145.25430981250003,0.3954831659793854,3200,100.0,45,-21.132705688476562,,
,,0.0003,3399,0.08047133684158325,-11.73733139038086,,0.36172643303871155,3500,,,-21.30778694152832,100.0,-47.299133760000004
83,36,0.0003,3499,0.06925502419471741,-12.071117401123047,-142.56078463888892,0.351147323846817,3600,100.0,43,-20.837993621826172,,
,,0.0003,3899,0.06763559579849243,-13.34797477722168,,0.3119209408760071,4000,,,-20.740924835205078,100.0,-54.073238300000014
95,40,,,,,-140.447709975,,4000,100.0,41,,,
100,44,0.0003,4299,0.05224049091339111,-14.377723693847656,-137.84835756818183,0.2772206664085388,4400,100.0,43,-19.915592193603516,,
