rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/n_updates,time/fps,time/time_elapsed,time/episodes,train/ent_coef,eval/mean_ep_length,eval/mean_reward
-155.073596,400,100.0,0.21213360130786896,-1.0490853786468506,0.0003,-10.077896118164062,299,138,2,4,0.9143851399421692,,
,500,,0.19308879971504211,-1.401505470275879,0.0003,-10.859781265258789,399,,,,0.8873758912086487,100.0,-55.97625719999999
-155.253495,800,100.0,0.1397915482521057,-2.4583373069763184,0.0003,-13.17868709564209,699,63,12,8,0.8110713362693787,,
,1000,,0.13805121183395386,-3.163478136062622,0.0003,-14.607240676879883,899,,,,0.7638905644416809,100.0,-49.50745638
-153.93424641666664,1200,100.0,0.10124688595533371,-3.8620524406433105,0.0003,-15.833500862121582,1099,49,24,12,0.7194210290908813,,
,1500,,0.11167046427726746,-4.904693126678467,0.0003,-17.417255401611328,1399,,,,0.6574996113777161,100.0,-47.92557626
-153.99469781250002,1600,100.0,0.08533702045679092,-5.261967658996582,0.0003,-17.893861770629883,1499,43,36,16,0.6380733251571655,,
,2000,,0.09164091944694519,-6.705611228942871,0.0003,-19.339385986328125,1899,,,,0.5659883618354797,100.0,-45.581680500000004
-152.4480871,2000,100.0,,,,,,40,49,20,,,
-151.23013079166665,2400,100.0,0.0987381637096405,-8.043986320495605,0.0003,-20.349437713623047,2299,44,53,24,0.5021227598190308,,
,2500,,0.08410638570785522,-8.386465072631836,0.0003,-20.473583221435547,2399,,,,0.4873391091823578,100.0,-46.10719514
-149.92448764285714,2800,100.0,0.08960127830505371,-9.423322677612305,0.0003,-20.59771156311035,2699,42,66,28,0.4455772340297699,,
,3000,,0.07291741669178009,-10.13570499420166,0.0003,-20.722442626953125,2899,,,,0.4197831451892853,100.0,-46.65675197999999
-147.14046859375003,3200,100.0,0.07525206357240677,-10.757851600646973,0.0003,-20.849491119384766,3099,40,78,32,0.39551079273223877,,
,3500,,0.056907325983047485,-11.753458023071289,0.0003,-20.632482528686523,3399,,,,0.3617801070213318,100.0,-49.26681052000001
-145.69920394444446,3600,100.0,0.07672358304262161,-12.063102722167969,0.0003,-20.59056854248047,3499,39,91,36,0.3512026071548462,,
,4000,,0.07491248100996017,-13.135261535644531,0.0003,-20.132701873779297,3899,,,,0.3120037317276001,100.0,-57.11259379999999
-143.145761425,4000,100.0,,,,,,38,103,40,,,
-140.4701100681818,4400,100.0,0.048499271273612976,-14.38893985748291,0.0003,-19.377456665039062,4299,40,108,44,0.2773424983024597,,
,4500,,0.05146324634552002,-14.660547256469727,0.0003,-19.165082931518555,4399,,,,0.26931941509246826,100.0,-51.434124080000004
-138.0241131875,4800,100.0,0.046839796006679535,-15.54720687866211,0.0003,-18.604991912841797,4699,39,121,48,0.24669142067432404,,
,5000,,0.03875305503606796,-15.835369110107422,0.0003,-17.90402603149414,4899,,,,0.23272272944450378,100.0,-50.149183300000004
-135.31425238461537,5200,100.0,0.04616076126694679,-16.402713775634766,0.0003,-17.36513328552246,5099,38,133,52,0.21959063410758972,,
,5500,,0.04001040756702423,-17.00783348083496,0.0003,-16.537498474121094,5399,,,,0.2013382762670517,100.0,-47.62040284
-133.15360719642857,5600,100.0,0.042022205889225006,-17.3858642578125,0.0003,-16.305435180664062,5499,38,146,56,0.19561661779880524,,
,6000,,0.043755847960710526,-18.132640838623047,0.0003,-15.24835205078125,5899,,,,0.17439228296279907,100.0,-47.21177401999999
-130.78728705,6000,100.0,,,,,,37,158,60,,,
-128.428069,6400,100.0,0.03415603190660477,-19.01202392578125,0.0003,-13.995859146118164,6299,39,163,64,0.15560641884803772,,
,6500,,0.026822326704859734,-19.117210388183594,0.0003,-13.609245300292969,6399,,,,0.15124955773353577,100.0,-48.455100599999994
-126.09134152941175,6800,100.0,0.029231471940875053,-19.346561431884766,0.0003,-12.532682418823242,6699,38,176,68,0.1389494687318802,,
,7000,,0.024101823568344116,-19.630859375,0.0003,-11.816526412963867,6899,,,,0.13134342432022095,100.0,-47.59449471999999
-123.74401993055555,7200,100.0,0.020582644268870354,-19.93511962890625,0.0003,-11.115967750549316,7099,38,188,72,0.1241750568151474,,
,7500,,0.021817440167069435,-20.283294677734375,0.0003,-10.080848693847656,7399,,,,0.11419816315174103,100.0,-46.58764486000001
-121.32157172368419,7600,100.0,0.02121123857796192,-20.017433166503906,0.0003,-9.956585884094238,7499,37,201,76,0.11106467992067337,,
,8000,,0.02066430076956749,-20.106761932373047,0.0003,-8.476688385009766,7899,,,,0.09941809624433517,100.0,-46.561905239999994
-118.81633703749999,8000,100.0,,,,,,37,213,80,,,
-116.80076786904759,8400,100.0,0.019502345472574234,-20.697486877441406,0.0003,-7.235195159912109,8299,38,218,84,0.08906512707471848,,
,8500,,0.01777118444442749,-20.345386505126953,0.0003,-6.94795036315918,8399,,,,0.08665910363197327,100.0,-43.70886874
-114.82555106818182,8800,100.0,0.019907839596271515,-20.883197784423828,0.0003,-5.553769111633301,8699,38,231,88,0.07984597235918045,,
,9000,,0.015999797731637955,-20.49793243408203,0.0003,-5.184057712554932,8899,,,,0.07561984658241272,100.0,-43.604673739999996
-112.81149095652174,9200,100.0,0.016812577843666077,-20.530452728271484,0.0003,-4.487454414367676,9099,37,243,92,0.07162674516439438,,
,9500,,0.014739776030182838,-20.82192611694336,0.0003,-3.6641414165496826,9399,,,,0.0660533457994461,100.0,-40.88047032
-110.64163736458333,9600,100.0,0.016980763524770737,-21.176538467407227,0.0003,-3.257507801055908,9499,37,256,96,0.06429930776357651,,
,10000,,0.017280612140893936,-21.002737045288086,0.0003,-1.971475601196289,9899,,,,0.05776188522577286,100.0,-40.375198420000004
-108.79085459,10000,100.0,,,,,,37,269,100,,,
-104.90651893999998,10400,100.0,0.016057051718235016,-20.42984390258789,0.0003,-0.7921187877655029,10299,37,273,104,0.0519191212952137,,
,10500,,0.014238030649721622,-19.511369705200195,0.0003,-0.614609956741333,10399,,,,0.050560761243104935,100.0,-40.38861152
-100.78058588,10800,100.0,0.01578090339899063,-19.16062355041504,0.0003,0.37360793352127075,10699,37,286,108,0.046711962670087814,,
,11000,,0.017884407192468643,-19.882869720458984,0.0003,0.9355341196060181,10899,,,,0.04432795196771622,100.0,-39.8768099
-97.01088057000001,11200,100.0,0.014470268040895462,-20.42609977722168,0.0003,1.2982666492462158,11099,37,299,112,0.04207637533545494,,
,11500,,0.01700948365032673,-18.844348907470703,0.0003,2.3601651191711426,11399,,,,0.03892490640282631,100.0,-41.44434182
-92.93100905000001,11600,100.0,0.01444081962108612,-18.51459312438965,0.0003,2.538239002227783,11499,37,311,116,0.037932153791189194,,
