time/episodes,train/critic_loss,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
4,0.29757821559906006,-1.049318790435791,115,0.0003,100.0,400,3,-9.995790481567383,299,0.9144313931465149,-157.117059,,
,0.2039223313331604,-1.4086077213287354,,0.0003,,500,,-10.816183090209961,399,0.8874123096466064,,100.0,-56.377248519999995
8,0.12297526001930237,-2.4548277854919434,54,0.0003,100.0,800,14,-13.083073616027832,699,0.8111026883125305,-153.4802535,,
,0.11935321986675262,-3.15653657913208,,0.0003,,1000,,-14.449552536010742,899,0.7639023661613464,,100.0,-60.7295962
12,0.095072440803051,-3.8689637184143066,44,0.0003,100.0,1200,27,-15.653005599975586,1099,0.7194122672080994,-153.6239211666667,,
,0.12860876321792603,-4.935995101928711,,0.0003,,1500,,-17.266061782836914,1399,0.6574952006340027,,100.0,-58.997055
16,0.09418942034244537,-5.276385307312012,40,0.0003,100.0,1600,39,-17.701610565185547,1499,0.6380678415298462,-152.49349256250002,,
,0.10809652507305145,-6.670198440551758,,0.0003,,2000,,-19.111299514770508,1899,0.5659893155097961,,100.0,-56.99229244
20,,,38,,100.0,2000,51,,,,-150.79259975000002,,
24,0.08776988834142685,-8.043073654174805,42,0.0003,100.0,2400,56,-20.210163116455078,2299,0.502131462097168,-149.25968079166668,,
,0.07463856041431427,-8.39137077331543,,0.0003,,2500,,-20.255216598510742,2399,0.48734357953071594,,100.0,-55.56802965999999
28,0.07340089976787567,-9.403976440429688,40,0.0003,100.0,2800,69,-20.52694320678711,2699,0.44558265805244446,-147.63698267857143,,
,0.08023934066295624,-10.106258392333984,,0.0003,,3000,,-20.555938720703125,2899,0.4197889268398285,,100.0,-49.79294452
32,0.07481889426708221,-10.771736145019531,39,0.0003,100.0,3200,81,-20.699193954467773,3099,0.3955093324184418,-146.13448234375,,
,0.05683557689189911,-11.643854141235352,,0.0003,,3500,,-20.431293487548828,3399,0.3617662787437439,,100.0,-48.35857053999999
36,0.05631589516997337,-12.058497428894043,38,0.0003,100.0,3600,93,-20.35514259338379,3499,0.3511880040168762,-143.84181166666667,,
,0.0538099929690361,-13.282207489013672,,0.0003,,4000,,-19.943395614624023,3899,0.3119598627090454,,100.0,-49.25440954
40,,,37,,100.0,4000,106,,,,-142.30822640000002,,
