time/time_elapsed,train/n_updates,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes,train/actor_loss,time/fps,train/ent_coef_loss,eval/mean_ep_length,eval/mean_reward
3,299,0.9144186973571777,0.0003,-154.60421200000002,400,0.24008189141750336,100.0,4,-9.951139450073242,103,-1.053520917892456,,
,399,0.8873821496963501,0.0003,,500,0.1915319561958313,,,-10.635051727294922,,-1.4021506309509277,100.0,-57.35137672
16,699,0.811080813407898,0.0003,-152.509596875,800,0.12553051114082336,100.0,8,-13.041141510009766,48,-2.4645519256591797,,
,899,0.7638915777206421,0.0003,,1000,0.11498241126537323,,,-14.379335403442383,,-3.1502957344055176,100.0,-59.680608840000005
28,1099,0.7194446921348572,0.0003,-151.65575458333333,1200,0.11780771613121033,100.0,12,-15.682804107666016,41,-3.875053882598877,,
,1399,0.6575544476509094,0.0003,,1500,0.12117264419794083,,,-17.392009735107422,,-4.907979965209961,100.0,-59.623174580000004
41,1499,0.6381421685218811,0.0003,-151.10265268749998,1600,0.1067114919424057,100.0,16,-17.929485321044922,38,-5.2795538902282715,,
,1899,0.5660702586174011,0.0003,,2000,0.10612235963344574,,,-19.201486587524414,,-6.660491466522217,100.0,-57.76056865999999
53,,,,-150.90502765,2000,,100.0,20,,37,,,
58,2299,0.5022066831588745,0.0003,-149.8971004583333,2400,0.0922568291425705,100.0,24,-20.128067016601562,40,-8.042768478393555,,
,2399,0.4874105453491211,0.0003,,2500,0.10430974513292313,,,-20.324262619018555,,-8.375293731689453,100.0,-53.434063280000004
71,2699,0.445626825094223,0.0003,-148.30371814285715,2800,0.07592794299125671,100.0,28,-20.726043701171875,39,-9.407586097717285,,
,2899,0.41981595754623413,0.0003,,3000,0.0889449417591095,,,-20.620927810668945,,-10.093391418457031,100.0,-50.73603724
83,3099,0.39552608132362366,0.0003,-147.2241043125,3200,0.06708940863609314,100.0,32,-20.693668365478516,38,-10.748764991760254,,
,3399,0.36175477504730225,0.0003,,3500,0.07103928923606873,,,-20.66716766357422,,-11.801523208618164,100.0,-48.06841982
96,3499,0.35116443037986755,0.0003,-145.07942094444445,3600,0.06719635426998138,100.0,36,-20.370500564575195,37,-12.029160499572754,,
,3899,0.3119211494922638,0.0003,,4000,0.060163501650094986,,,-19.84015655517578,,-13.209364891052246,100.0,-46.74906666
108,,,,-142.57349955,4000,,100.0,40,,36,,,
113,4299,0.27723902463912964,0.0003,-139.9176783181818,4400,0.05323885381221771,100.0,44,-19.204708099365234,38,-14.606121063232422,,
,4399,0.2692112624645233,0.0003,,4500,0.047006525099277496,,,-18.934566497802734,,-14.576722145080566,100.0,-44.81979456
125,4699,0.2465549111366272,0.0003,-137.77223397916669,4800,0.051907919347286224,100.0,48,-18.255298614501953,38,-15.593791961669922,,
,4899,0.23257026076316833,0.0003,,5000,0.04695228487253189,,,-17.81598663330078,,-16.051109313964844,100.0,-47.3970523
138,5099,0.21942231059074402,0.0003,-134.97142234615387,5200,0.03615788742899895,100.0,52,-17.268795013427734,37,-16.545116424560547,,
,5399,0.20116838812828064,0.0003,,5500,0.03385808318853378,,,-16.421321868896484,,-17.26192855834961,100.0,-46.453706839999995
150,5499,0.1954505294561386,0.0003,-131.88143916071428,5600,0.03367142751812935,100.0,56,-16.265607833862305,37,-17.533706665039062,,
,5899,0.17424437403678894,0.0003,,6000,0.034682199358940125,,,-14.835226058959961,,-18.057968139648438,100.0,-45.289364600000006
162,,,,-129.51651051666667,6000,,100.0,60,,36,,,
167,6299,0.15545856952667236,0.0003,-127.09136992187501,6400,0.0280420184135437,100.0,64,-13.642181396484375,38,-18.830631256103516,,
,6399,0.15111148357391357,0.0003,,6500,0.029409252107143402,,,-13.610770225524902,,-19.135181427001953,100.0,-43.51097068
180,6699,0.13883575797080994,0.0003,-124.6418685882353,6800,0.028024811297655106,100.0,68,-12.320085525512695,37,-19.482711791992188,,
,6899,0.13123846054077148,0.0003,,7000,0.026947200298309326,,,-11.744455337524414,,-19.588336944580078,100.0,-47.17806716000001
192,7099,0.12408065050840378,0.0003,-122.28242315277778,7200,0.022910263389348984,100.0,72,-10.97266960144043,37,-20.19940757751465,,
,7399,0.1141158863902092,0.0003,,7500,0.021852713078260422,,,-9.967540740966797,,-19.95896339416504,100.0,-46.20274007999999
205,7499,0.11098622530698776,0.0003,-119.86180746052634,7600,0.029390934854745865,100.0,76,-9.374435424804688,37,-20.14299774169922,,
,7899,0.09935075789690018,0.0003,,8000,0.0197659432888031,,,-8.250743865966797,,-20.187162399291992,100.0,-47.51339250000001
217,,,,-117.94105180000001,8000,,100.0,80,,36,,,
222,8299,0.08899584412574768,0.0003,-115.60273605952382,8400,0.020961768925189972,100.0,84,-7.104836463928223,37,-20.595523834228516,,
,8399,0.08658888936042786,0.0003,,8500,0.02137572318315506,,,-6.801191806793213,,-20.557146072387695,100.0,-45.83087668
235,8699,0.07977554947137833,0.0003,-113.48130752272728,8800,0.021962903439998627,100.0,88,-5.594444274902344,37,-20.466323852539062,,
,8899,0.07555055618286133,0.0003,,9000,0.01744697242975235,,,-5.020106315612793,,-20.635784149169922,100.0,-45.506060180000006
247,9099,0.07156304270029068,0.0003,-111.15161816304348,9200,0.020447220653295517,100.0,92,-4.5021233558654785,37,-20.197921752929688,,
,9399,0.06599549949169159,0.0003,,9500,0.0181302260607481,,,-3.167186737060547,,-20.544445037841797,100.0,-44.70134557999999
260,9499,0.06424210965633392,0.0003,-109.27211351041667,9600,0.020754177123308182,100.0,96,-3.0547943115234375,36,-20.052082061767578,,
,9899,0.05771508067846298,0.0003,,10000,0.02049260586500168,,,-2.0541181564331055,,-20.269683837890625,100.0,-41.0619292
272,,,,-107.42171341000001,10000,,100.0,100,,36,,,
277,10299,0.051884375512599945,0.0003,-103.77073211000001,10400,0.01681223139166832,100.0,104,-0.8681880235671997,37,-19.992862701416016,,
,10399,0.05053384602069855,0.0003,,10500,0.020149948075413704,,,-0.39533519744873047,,-19.9213809967041,100.0,-42.94800252000001
289,10699,0.046698197722435,0.0003,-100.05343880000001,10800,0.020574312657117844,100.0,108,0.33018308877944946,37,-19.864757537841797,,
,10899,0.04431901127099991,0.0003,,11000,0.016083281487226486,,,0.9118753671646118,,-19.131528854370117,100.0,-39.90856428
302,11099,0.04208197444677353,0.0003,-96.20259527,11200,0.014988623559474945,100.0,112,1.466987133026123,37,-18.539628982543945,,
,11399,0.03895235061645508,0.0003,,11500,0.022100407630205154,,,2.615981101989746,,-18.692729949951172,100.0,-42.26635861999999
314,11499,0.037967681884765625,0.0003,-92.50401917,11600,0.01757986471056938,100.0,116,2.7773308753967285,36,-18.329633712768555,,
,11899,0.0342973954975605,0.0003,,12000,0.019828660413622856,,,3.5355405807495117,,-17.791322708129883,100.0,-40.944448380000004
326,,,,-88.6824792,12000,,100.0,120,,36,,,
331,12299,0.031027954071760178,0.0003,-84.84175336,12400,0.02405756711959839,100.0,124,4.668535232543945,37,-16.675884246826172,,
,12399,0.030265143141150475,0.0003,,12500,0.02027096413075924,,,4.969857692718506,,-16.986003875732422,100.0,-40.660808159999995
344,12699,0.02809832990169525,0.0003,-81.25755968,12800,0.017551448196172714,100.0,128,5.819815635681152,37,-15.872625350952148,,
,12899,0.02675389125943184,0.0003,,13000,0.019508149474859238,,,6.1612091064453125,,-15.563712120056152,100.0,-39.813327439999995
356,13099,0.025481242686510086,0.0003,-77.66544139000001,13200,0.015620130114257336,100.0,132,6.531321048736572,37,-15.336044311523438,,
,13399,0.023703893646597862,0.0003,,13500,0.014866603538393974,,,7.199859619140625,,-14.051715850830078,100.0,-40.66026472
368,13499,0.02314753457903862,0.0003,-74.47112423,13600,0.017266716808080673,100.0,136,7.521628379821777,36,-14.741216659545898,,
,13899,0.02105710096657276,0.0003,,14000,0.01815175637602806,,,7.800118446350098,,-12.563838958740234,100.0,-44.03562572
