train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
299,0.001,0.010421897284686565,400,2,190,-146.72638125,2.197976589202881,100.0,4,,
399,0.001,0.00790441781282425,500,,,,2.332350015640259,,,100.0,-91.63461788
699,0.001,0.004112446680665016,800,8,91,-117.182171875,2.8347206115722656,100.0,8,,
899,0.001,0.00829857587814331,1000,,,,3.1257948875427246,,,100.0,-64.38381618
1099,0.001,0.006927688140422106,1200,15,76,-101.11422958333333,3.2972888946533203,100.0,12,,
1399,0.001,0.010327578522264957,1500,,,,3.6506290435791016,,,100.0,-60.81215518000001
1499,0.001,0.009750775061547756,1600,22,71,-91.38233775,3.7685532569885254,100.0,16,,
1899,0.001,0.016420070081949234,2000,,,,4.456145286560059,,,100.0,-56.7130163
,,,2000,28,69,-84.51311955,,100.0,20,,
2299,0.001,0.021962225437164307,2400,31,76,-80.02487795833333,4.933333396911621,100.0,24,,
2399,0.001,0.018424471840262413,2500,,,,5.211444854736328,,,100.0,-59.40744032
2699,0.001,0.019815698266029358,2800,38,72,-77.12334585714287,5.62713623046875,100.0,28,,
2899,0.001,0.017228208482265472,3000,,,,5.9734954833984375,,,100.0,-57.16141095999999
3099,0.001,0.019797537475824356,3200,45,70,-74.455326125,6.30685567855835,100.0,32,,
3399,0.001,0.023839928209781647,3500,,,,6.729030609130859,,,100.0,-60.08986644000001
3499,0.001,0.023460928350687027,3600,52,68,-72.37688208333333,6.985211372375488,100.0,36,,
3899,0.001,0.02223568968474865,4000,,,,7.48115873336792,,,100.0,-47.08021000000001
,,,4000,58,67,-70.33650170000001,,100.0,40,,
4299,0.001,0.02325955033302307,4400,61,71,-68.48270547727273,7.988110065460205,100.0,44,,
4399,0.001,0.03222386911511421,4500,,,,8.275367736816406,,,100.0,-60.07707784
4699,0.001,0.024431651458144188,4800,68,70,-67.98708689583334,8.934891700744629,100.0,48,,
4899,0.001,0.03294757008552551,5000,,,,9.007122993469238,,,100.0,-56.20751119999999
5099,0.001,0.031488269567489624,5200,74,69,-67.05557738461538,9.452604293823242,100.0,52,,
5399,0.001,0.029107194393873215,5500,,,,9.846925735473633,,,100.0,-48.48284905999999
5499,0.001,0.02575663849711418,5600,82,68,-65.76265664285714,9.961196899414062,100.0,56,,
5899,0.001,0.02648240700364113,6000,,,,10.599617958068848,,,100.0,-47.052526500000006
