time/fps,train/critic_loss,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/ent_coef_loss,time/time_elapsed,train/n_updates,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/ent_coef,eval/mean_reward,eval/mean_ep_length
97,0.21213360130786896,100.0,0.0003,-10.077896118164062,-1.0490853786468506,4,299,-155.073596,4,400,0.9143851399421692,,
,0.19308879971504211,,0.0003,-10.859781265258789,-1.401505470275879,,399,,,500,0.8873758912086487,-55.97625719999999,100.0
48,0.1397915482521057,100.0,0.0003,-13.17868709564209,-2.4583373069763184,16,699,-155.253495,8,800,0.8110713362693787,,
,0.13805121183395386,,0.0003,-14.607240676879883,-3.163478136062622,,899,,,1000,0.7638905644416809,-49.51397550000001,100.0
41,0.10124688595533371,100.0,0.0003,-15.833500862121582,-3.8620524406433105,29,1099,-153.93424641666664,12,1200,0.7194210290908813,,
,0.11167046427726746,,0.0003,-17.417255401611328,-4.904693126678467,,1399,,,1500,0.6574996113777161,-47.92557626,100.0
38,0.08533702045679092,100.0,0.0003,-17.893861770629883,-5.261967658996582,41,1499,-153.99469781250002,16,1600,0.6380733251571655,,
,0.09164069592952728,,0.0003,-19.339384078979492,-6.705601692199707,,1899,,,2000,0.5659883618354797,-45.58220062,100.0
37,,100.0,,,,54,,-152.44806645,20,2000,,,
40,0.09984034299850464,100.0,0.0003,-20.342330932617188,-8.043645858764648,59,2299,-151.22505575,24,2400,0.5021222829818726,,
,0.08423438668251038,,0.0003,-20.488296508789062,-8.38496208190918,,2399,,,2500,0.4873390793800354,-45.64464954,100.0
39,0.08929596841335297,100.0,0.0003,-20.626514434814453,-9.41950798034668,71,2699,-149.91629603571428,28,2800,0.44558271765708923,,
,0.076633021235466,,0.0003,-20.75864028930664,-10.134111404418945,,2899,,,3000,0.4197903573513031,-46.996442720000005,100.0
38,0.0789649486541748,100.0,0.0003,-20.852375030517578,-10.751572608947754,83,3099,-147.092380375,32,3200,0.39552122354507446,,
,0.05496346950531006,,0.0003,-20.608306884765625,-11.74982738494873,,3399,,,3500,0.36180102825164795,-49.92542274,100.0
37,0.08099880814552307,100.0,0.0003,-20.57419204711914,-12.050193786621094,96,3499,-145.0659602222222,36,3600,0.35122793912887573,,
,0.06493250280618668,,0.0003,-20.15281867980957,-13.13266372680664,,3899,,,4000,0.3120405972003937,-52.36407194,100.0
36,,100.0,,,,108,,-142.497629175,40,4000,,,
38,0.04721929132938385,100.0,0.0003,-19.466642379760742,-14.377408027648926,113,4299,-140.06422411363636,44,4400,0.277372807264328,,
,0.05043923109769821,,0.0003,-19.251110076904297,-14.680948257446289,,4399,,,4500,0.2693513035774231,-50.2638123,100.0
37,0.04504913091659546,100.0,0.0003,-18.718164443969727,-15.549604415893555,126,4699,-137.66291541666666,48,4800,0.24671874940395355,,
,0.04157670587301254,,0.0003,-18.059261322021484,-15.842883110046387,,4899,,,5000,0.23274578154087067,-49.40094618000001,100.0
37,0.04606383666396141,100.0,0.0003,-17.46392822265625,-16.42675018310547,138,5099,-134.99540815384614,52,5200,0.2196057140827179,,
,0.03920770436525345,,0.0003,-16.695669174194336,-17.000619888305664,,5399,,,5500,0.20134858787059784,-45.89343712,100.0
37,0.0360516756772995,100.0,0.0003,-16.364185333251953,-17.344871520996094,151,5499,-132.8508788392857,56,5600,0.19562476873397827,,
,0.044231534004211426,,0.0003,-15.394990921020508,-18.095712661743164,,5899,,,6000,0.17438237369060516,-45.23559578000001,100.0
36,,100.0,,,,163,,-130.57858946666667,60,6000,,,
37,0.03109855391085148,100.0,0.0003,-14.100303649902344,-18.961458206176758,168,6299,-128.161068671875,64,6400,0.15558449923992157,,
,0.027384111657738686,,0.0003,-13.74217700958252,-19.01708221435547,,6399,,,6500,0.15123189985752106,-46.98784525999999,100.0
37,0.024600742384791374,100.0,0.0003,-12.67204475402832,-19.342580795288086,181,6699,-125.83992320588237,68,6800,0.1389298290014267,,
,0.022140279412269592,,0.0003,-11.960606575012207,-19.597278594970703,,6899,,,7000,0.131315678358078,-48.24812566000001,100.0
37,0.02377094142138958,100.0,0.0003,-11.232562065124512,-19.88239288330078,193,7099,-123.48296516666667,72,7200,0.12414302676916122,,
,0.022048141807317734,,0.0003,-10.237433433532715,-20.372623443603516,,7399,,,7500,0.11415313929319382,-45.10843498,100.0
36,0.023092200979590416,100.0,0.0003,-10.148940086364746,-20.018774032592773,206,7499,-121.07168378947367,76,7600,0.11101631075143814,,
,0.021838992834091187,,0.0003,-8.66153621673584,-20.067668914794922,,7899,,,8000,0.0993577167391777,-46.00564326000001,100.0
36,,100.0,,,,218,,-118.6076541125,80,8000,,,
37,0.019381659105420113,100.0,0.0003,-7.410874366760254,-20.812877655029297,223,8299,-116.6565000238095,84,8400,0.088997982442379,,
,0.019313063472509384,,0.0003,-7.191035270690918,-20.312156677246094,,8399,,,8500,0.08659219741821289,-43.902306100000004,100.0
37,0.020804641768336296,100.0,0.0003,-5.7435503005981445,-20.876279830932617,236,8699,-114.72595770454545,88,8800,0.07977808266878128,,
,0.015732459723949432,,0.0003,-5.396180629730225,-20.497440338134766,,8899,,,9000,0.07555147260427475,-41.92557000000001,100.0
36,0.01612066477537155,100.0,0.0003,-4.6877241134643555,-20.590959548950195,248,9099,-112.74218265217391,92,9200,0.07156113535165787,,
