train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,train/ent_coef,eval/mean_reward,eval/mean_ep_length
0.0003,-1.0498735904693604,100.0,2,0.21331734955310822,299,-10.271510124206543,400,4,143,-145.14715525,0.9144357442855835,,
0.0003,-1.405022144317627,,,0.272804319858551,399,-11.138038635253906,500,,,,0.887424886226654,-58.363879000000004,100.0
0.0003,-2.4538426399230957,100.0,13,0.18800131976604462,699,-13.451410293579102,800,8,60,-147.42255799999998,0.8111563324928284,,
0.0003,-3.1498124599456787,,,0.1531069427728653,899,-14.950532913208008,1000,,,,0.7639785408973694,-55.55307386,100.0
0.0003,-3.8629813194274902,100.0,23,0.129197895526886,1099,-16.20523452758789,1200,12,50,-148.97894016666666,0.7195338606834412,,
0.0003,-4.939023494720459,,,0.12074831128120422,1399,-17.877073287963867,1500,,,,0.6576157808303833,-56.33210510000001,100.0
0.0003,-5.275422096252441,100.0,33,0.0922243669629097,1499,-18.394515991210938,1600,16,47,-148.80443918749998,0.6381800174713135,,
0.0003,-6.663748741149902,,,0.11231676489114761,1899,-19.737380981445312,2000,,,,0.5660391449928284,-55.63301574000001,100.0
,,100.0,44,,,,2000,20,45,-149.39394910000001,,,
0.0003,-7.9761457443237305,100.0,48,0.0808902382850647,2299,-20.708606719970703,2400,24,49,-147.65104604166666,0.5021258592605591,,
0.0003,-8.407886505126953,,,0.08032496273517609,2399,-21.06682777404785,2500,,,,0.4873238503932953,-47.21764502,100.0
0.0003,-9.44251537322998,100.0,58,0.07922519743442535,2699,-21.12740707397461,2800,28,47,-147.71915339285715,0.44553688168525696,,
0.0003,-10.053247451782227,,,0.07778433710336685,2899,-21.194103240966797,3000,,,,0.4197387397289276,-48.907794280000005,100.0
0.0003,-10.755077362060547,100.0,68,0.08788339793682098,3099,-21.203487396240234,3200,32,46,-145.91209725,0.39546120166778564,,
0.0003,-11.743796348571777,,,0.09286689013242722,3399,-20.994220733642578,3500,,,,0.36171281337738037,-53.231286020000006,100.0
0.0003,-12.051064491271973,100.0,78,0.06594237685203552,3499,-21.007736206054688,3600,36,45,-143.89598294444443,0.35112959146499634,,
0.0003,-13.307771682739258,,,0.06682588160037994,3899,-20.515464782714844,4000,,,,0.3118966221809387,-55.136790519999984,100.0
,,100.0,88,,,,4000,40,45,-141.903146325,,,
0.0003,-14.460437774658203,100.0,92,0.06141841411590576,4299,-19.8863582611084,4400,44,47,-139.91874077272726,0.27720019221305847,,
0.0003,-14.772562980651855,,,0.052536096423864365,4399,-19.66489601135254,4500,,,,0.26917389035224915,-51.744650199999995,100.0
0.0003,-15.546871185302734,100.0,103,0.04264300316572189,4699,-19.028350830078125,4800,48,46,-137.65551502083335,0.24651537835597992,,
0.0003,-16.081438064575195,,,0.04640338197350502,4899,-18.453800201416016,5000,,,,0.2325286716222763,-55.17928366,100.0
0.0003,-16.44562530517578,100.0,113,0.0455077700316906,5099,-17.92715835571289,5200,52,45,-135.59867053846153,0.21937787532806396,,
0.0003,-17.133228302001953,,,0.03282361105084419,5399,-16.981876373291016,5500,,,,0.20111389458179474,-47.37803954000001,100.0
0.0003,-17.240785598754883,100.0,123,0.041718050837516785,5499,-16.982561111450195,5600,56,45,-133.25843517857143,0.1953902542591095,,
