time/episodes,time/fps,train/actor_loss,train/ent_coef,train/n_updates,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
4,117,-9.951139450073242,0.9144186973571777,299,3,-1.053520917892456,100.0,0.24008189141750336,400,0.0003,-154.60421200000002,,
,,-10.635051727294922,0.8873821496963501,399,,-1.4021506309509277,,0.1915319561958313,500,0.0003,,-57.35137672,100.0
8,49,-13.041141510009766,0.811080813407898,699,16,-2.4645519256591797,100.0,0.12553051114082336,800,0.0003,-152.509596875,,
,,-14.379335403442383,0.7638915777206421,899,,-3.1502957344055176,,0.11498241126537323,1000,0.0003,,-59.680608840000005,100.0
12,41,-15.675161361694336,0.7194435000419617,1099,28,-3.875094413757324,100.0,0.12335657328367233,1200,0.0003,-152.12479491666664,,
,,-17.36774444580078,0.657549262046814,1399,,-4.907916069030762,,0.11863154172897339,1500,0.0003,,-59.638626560000006,100.0
16,38,-17.90325164794922,0.6381373405456543,1499,41,-5.275886535644531,100.0,0.1003938764333725,1600,0.0003,-151.4748700625,,
,,-19.173446655273438,0.566079318523407,1899,,-6.657079696655273,,0.10124265402555466,2000,0.0003,,-56.45231616,100.0
20,37,,,,53,,100.0,,2000,,-151.14011445,,
24,41,-20.08938980102539,0.5022295713424683,2299,58,-8.041055679321289,100.0,0.0903099924325943,2400,0.0003,-149.99130608333334,,
,,-20.308332443237305,0.4874352514743805,2399,,-8.367057800292969,,0.10632088780403137,2500,0.0003,,-52.17608194,100.0
28,39,-20.63144302368164,0.44565847516059875,2699,70,-9.402341842651367,100.0,0.07656092196702957,2800,0.0003,-148.34549553571426,,
,,-20.61286163330078,0.4198526442050934,2899,,-10.085886001586914,,0.08721089363098145,3000,0.0003,,-49.26604674000001,100.0
32,38,-20.647342681884766,0.39556455612182617,3099,83,-10.745830535888672,100.0,0.07144691795110703,3200,0.0003,-147.248714125,,
,,-20.639225006103516,0.3617938160896301,3399,,-11.791841506958008,,0.0715295672416687,3500,0.0003,,-48.447114,100.0
36,37,-20.39443016052246,0.35120344161987305,3499,95,-12.031862258911133,100.0,0.06789333373308182,3600,0.0003,-144.9152609722222,,
,,-19.874841690063477,0.31196123361587524,3899,,-13.213467597961426,,0.061562635004520416,4000,0.0003,,-48.01586791999999,100.0
40,37,,,,108,,100.0,,4000,,-142.345146625,,
44,39,-19.271631240844727,0.2772796154022217,4299,112,-14.59895133972168,100.0,0.050979092717170715,4400,0.0003,-139.61233372727273,,
,,-18.949935913085938,0.2692551016807556,4399,,-14.585508346557617,,0.05024860054254532,4500,0.0003,,-48.82467766,100.0
48,38,-18.204940795898438,0.24660275876522064,4699,125,-15.531725883483887,100.0,0.0437617152929306,4800,0.0003,-137.6963748125,,
,,-17.82220458984375,0.23261712491512299,4899,,-16.047725677490234,,0.04871813952922821,5000,0.0003,,-47.33032176000002,100.0
52,37,-17.30449676513672,0.21946921944618225,5099,137,-16.565404891967773,100.0,0.04187256842851639,5200,0.0003,-134.9102223269231,,
,,-16.410282135009766,0.20121057331562042,5399,,-17.212608337402344,,0.03991766273975372,5500,0.0003,,-47.10135274,100.0
56,37,-16.269535064697266,0.1954887956380844,5499,150,-17.451265335083008,100.0,0.03868968039751053,5600,0.0003,-131.86684725,,
,,-14.909560203552246,0.17428117990493774,5899,,-18.035396575927734,,0.03010331466794014,6000,0.0003,,-47.652511139999994,100.0
60,36,,,,162,,100.0,,6000,,-129.45565763333332,,
64,38,-13.607407569885254,0.15550020337104797,6299,167,-18.6842098236084,100.0,0.038850970566272736,6400,0.0003,-127.004314796875,,
,,-13.577127456665039,0.15115773677825928,6399,,-19.042808532714844,,0.027555817738175392,6500,0.0003,,-43.50421756,100.0
