rollout/ep_rew_mean,train/n_updates,train/actor_loss,time/time_elapsed,train/learning_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/fps,train/critic_loss,eval/mean_reward,eval/mean_ep_length
-110.019397,299,1.8653409481048584,1,0.001,4,400,100.0,220,0.010181190446019173,,
,399,1.9365234375,,0.001,,500,,,0.003870329586789012,-85.01865905999999,100.0
-92.00211275,699,2.3920235633850098,7,0.001,8,800,100.0,104,0.005879177711904049,,
,899,2.670315980911255,,0.001,,1000,,,0.007248105015605688,-70.12674106,100.0
-83.21635008333332,1099,2.9713850021362305,13,0.001,12,1200,100.0,88,0.007514440920203924,,
,1399,3.3700103759765625,,0.001,,1500,,,0.013576851226389408,-62.964445260000005,100.0
-79.59186256250001,1499,3.6733689308166504,19,0.001,16,1600,100.0,80,0.008503174409270287,,
,1899,4.341540336608887,,0.001,,2000,,,0.010879659093916416,-66.362375,100.0
-78.89340315000001,,,25,,20,2000,100.0,77,,,
-76.44213154166665,2299,4.965012550354004,28,0.001,24,2400,100.0,85,0.010825496166944504,,
,2399,5.186906814575195,,0.001,,2500,,,0.009940491989254951,-63.15122248000001,100.0
-74.53655542857143,2699,5.650752067565918,33,0.001,28,2800,100.0,82,0.011121643707156181,,
,2899,5.999349117279053,,0.001,,3000,,,0.010686255991458893,-63.07823138,100.0
-72.80999396875,3099,6.285367012023926,40,0.001,32,3200,100.0,79,0.011521712876856327,,
,3399,6.682046890258789,,0.001,,3500,,,0.015406815335154533,-62.08912050000001,100.0
-71.49289375000001,3499,6.88060998916626,46,0.001,36,3600,100.0,78,0.014295014552772045,,
,3899,7.587132453918457,,0.001,,4000,,,0.011898216791450977,-62.54078306,100.0
-70.583887125,,,51,,40,4000,100.0,77,,,
-69.99006727272727,4299,8.245611190795898,54,0.001,44,4400,100.0,81,0.016853783279657364,,
,4399,8.341419219970703,,0.001,,4500,,,0.01496577076613903,-63.4532967,100.0
-69.21449014583334,4699,8.81613540649414,60,0.001,48,4800,100.0,79,0.016076378524303436,,
,4899,9.200443267822266,,0.001,,5000,,,0.017112987115979195,-61.97745358,100.0
-68.73578644230768,5099,9.40983772277832,66,0.001,52,5200,100.0,78,0.028668710961937904,,
,5399,9.906949043273926,,0.001,,5500,,,0.020035717636346817,-64.28962214,100.0
-68.29069619642857,5499,10.075605392456055,71,0.001,56,5600,100.0,77,0.01975707896053791,,
,5899,10.757125854492188,,0.001,,6000,,,0.018978340551257133,-61.18985982,100.0
-67.86470883333332,,,78,,60,6000,100.0,76,,,
-67.21398789062499,6299,11.510444641113281,80,0.001,64,6400,100.0,79,0.02224086783826351,,
,6399,11.605592727661133,,0.001,,6500,,,0.025005584582686424,-61.19184922,100.0
-66.62341670588235,6699,12.093124389648438,86,0.001,68,6800,100.0,78,0.02055901102721691,,
,6899,12.438101768493652,,0.001,,7000,,,0.02300737053155899,-59.55987618,100.0
-66.17328831944444,7099,12.558403015136719,92,0.001,72,7200,100.0,78,0.022708065807819366,,
,7399,12.958324432373047,,0.001,,7500,,,0.029244955629110336,-56.95670424000001,100.0
-65.60471842105262,7499,13.027628898620605,98,0.001,76,7600,100.0,77,0.02650953084230423,,
,7899,13.791587829589844,,0.001,,8000,,,0.024681108072400093,-55.25121891999999,100.0
-65.07060797499999,,,104,,80,8000,100.0,76,,,
-64.55564865476188,8299,14.182605743408203,106,0.001,84,8400,100.0,78,0.0236729234457016,,
