time/fps,train/actor_loss,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/critic_loss,train/learning_rate,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
161,1.9507755041122437,-124.1730735,299,100.0,4,400,0.022266052663326263,0.001,2,,
,1.9336997270584106,,399,,,500,0.023113582283258438,0.001,,-76.42707106,100.0
25,2.406768798828125,-98.73764012500001,699,100.0,8,800,0.00928657315671444,0.001,31,,
,2.7138617038726807,,899,,,1000,0.010663110762834549,0.001,,-64.4888668,100.0
30,2.9399044513702393,-86.89395458333335,1099,100.0,12,1200,0.01186392828822136,0.001,39,,
,3.336142063140869,,1399,,,1500,0.012593233957886696,0.001,,-64.23958945999999,100.0
34,3.463233232498169,-80.65659550000001,1499,100.0,16,1600,0.012600241228938103,0.001,46,,
,4.058359622955322,,1899,,,2000,0.01796562783420086,0.001,,-65.12141608,100.0
37,,-76.71102810000001,,100.0,20,2000,,,53,,
42,4.672717094421387,-74.18601233333334,2299,100.0,24,2400,0.022482644766569138,0.001,56,,
,4.995950698852539,,2399,,,2500,0.02218516543507576,0.001,,-61.27904326000001,100.0
43,5.436187267303467,-72.6263592857143,2699,100.0,28,2800,0.016176028177142143,0.001,64,,
,5.770476818084717,,2899,,,3000,0.01444906834512949,0.001,,-62.971895460000006,100.0
44,6.109995365142822,-71.17042821874999,3099,100.0,32,3200,0.016807684674859047,0.001,71,,
,6.567558288574219,,3399,,,3500,0.020332733169198036,0.001,,-66.34194366000001,100.0
45,6.734519958496094,-70.31561752777777,3499,100.0,36,3600,0.017351489514112473,0.001,78,,
,7.3585100173950195,,3899,,,4000,0.01933343894779682,0.001,,-56.04502735999999,100.0
46,,-69.34699164999999,,100.0,40,4000,,,85,,
49,8.104680061340332,-67.93977438636364,4299,100.0,44,4400,0.024370277300477028,0.001,88,,
,8.204456329345703,,4399,,,4500,0.02739771455526352,0.001,,-65.05148538,100.0
50,8.759431838989258,-67.17303454166667,4699,100.0,48,4800,0.02196119911968708,0.001,95,,
,9.196737289428711,,4899,,,5000,0.01985950395464897,0.001,,-58.547393619999994,100.0
50,9.30581283569336,-66.74534203846154,5099,100.0,52,5200,0.023197058588266373,0.001,103,,
,9.857391357421875,,5399,,,5500,0.020666886121034622,0.001,,-58.40729746000001,100.0
50,9.99997329711914,-66.42923910714286,5499,100.0,56,5600,0.02705761045217514,0.001,110,,
