time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
1,-132.60658575,0.009993553161621094,400,299,100.0,215,4,2.1188199520111084,0.001,,
,,0.0072299824096262455,500,399,,,,2.1789448261260986,0.001,-59.90199591999999,100.0
8,-96.259479375,0.006951159797608852,800,699,100.0,99,8,2.420504331588745,0.001,,
,,0.005376240238547325,1000,899,,,,2.643400192260742,0.001,-60.64018292,100.0
14,-83.65101266666666,0.011009052395820618,1200,1099,100.0,83,12,2.896507740020752,0.001,,
,,0.009597290307283401,1500,1399,,,,3.1169519424438477,0.001,-61.38921242000001,100.0
20,-76.5732434375,0.020139392465353012,1600,1499,100.0,77,16,3.278995990753174,0.001,,
,,0.021711595356464386,2000,1899,,,,3.875749111175537,0.001,-56.64324422000001,100.0
27,-72.61835665,,2000,,100.0,73,20,,,,
29,-69.94731758333334,0.014735147356987,2400,2299,100.0,81,24,4.404132843017578,0.001,,
,,0.016631439328193665,2500,2399,,,,4.718862533569336,0.001,-55.8710558,100.0
35,-68.00323035714287,0.02156955376267433,2800,2699,100.0,78,28,5.069730758666992,0.001,,
,,0.014425035566091537,3000,2899,,,,5.30651330947876,0.001,-53.934963079999996,100.0
42,-66.41526784375,0.020259518176317215,3200,3099,100.0,75,32,5.66779899597168,0.001,,
,,0.018282940611243248,3500,3399,,,,6.066488265991211,0.001,-53.36191838,100.0
48,-64.96669166666668,0.017672352492809296,3600,3499,100.0,73,36,6.338416576385498,0.001,,
,,0.02435777708888054,4000,3899,,,,6.892745494842529,0.001,-55.4562643,100.0
55,-63.440398925,,4000,,100.0,72,40,,,,
57,-62.30712775,0.01742885634303093,4400,4299,100.0,76,44,7.466372489929199,0.001,,
,,0.0218338780105114,4500,4399,,,,7.504847526550293,0.001,-52.11691676,100.0
63,-61.92213708333333,0.017092149704694748,4800,4699,100.0,75,48,8.050008773803711,0.001,,
,,0.023776646703481674,5000,4899,,,,8.32176685333252,0.001,-55.25477394000001,100.0
70,-61.37526675,0.03325440734624863,5200,5099,100.0,74,52,8.515764236450195,0.001,,
,,0.01958463340997696,5500,5399,,,,9.027172088623047,0.001,-54.357776720000004,100.0
76,-60.854682946428575,0.020560402423143387,5600,5499,100.0,73,56,9.083013534545898,0.001,,
,,0.023471243679523468,6000,5899,,,,9.781647682189941,0.001,-51.49000185999999,100.0
83,-60.281437733333334,,6000,,100.0,72,60,,,,
85,-59.7402190625,0.022852102294564247,6400,6299,100.0,74,64,10.252164840698242,0.001,,
,,0.028417367488145828,6500,6399,,,,10.404500007629395,0.001,-50.664672339999996,100.0
91,-59.30937426470588,0.02488773874938488,6800,6699,100.0,73,68,10.879022598266602,0.001,,
,,0.0376632958650589,7000,6899,,,,10.957765579223633,0.001,-57.29554896,100.0
98,-59.14458131944444,0.023337990045547485,7200,7099,100.0,73,72,11.344502449035645,0.001,,
,,0.02487156353890896,7500,7399,,,,11.79316234588623,0.001,-51.830029399999994,100.0
104,-58.70100044736843,0.026162654161453247,7600,7499,100.0,72,76,11.872445106506348,0.001,,
,,0.03610386699438095,8000,7899,,,,12.455842971801758,0.001,-52.27392924000001,100.0
111,-58.56476417500001,,8000,,100.0,72,80,,,,
113,-58.11709075,0.03238731622695923,8400,8299,100.0,74,84,13.027690887451172,0.001,,
,,0.035373516380786896,8500,8399,,,,13.136445999145508,0.001,-50.559213220000004,100.0
119,-57.747132136363646,0.02593773603439331,8800,8699,100.0,73,88,13.469639778137207,0.001,,
,,0.027212772518396378,9000,8899,,,,13.647163391113281,0.001,-50.8349823,100.0
126,-57.38879741304349,0.03125888481736183,9200,9099,100.0,72,92,13.976168632507324,0.001,,
,,0.02893916144967079,9500,9399,,,,14.321184158325195,0.001,-51.76673752,100.0
132,-57.14487698958334,0.03762187063694,9600,9499,100.0,72,96,14.361238479614258,0.001,,
,,0.03531698137521744,10000,9899,,,,15.070760726928711,0.001,-49.592952319999995,100.0
139,-56.920302119999995,,10000,,100.0,71,100,,,,
141,-53.82512052,0.03577205911278725,10400,10299,100.0,73,104,15.449871063232422,0.001,,
,,0.04441692680120468,10500,10399,,,,15.656128883361816,0.001,-50.49422799999999,100.0
147,-53.400034080000005,0.03539450466632843,10800,10699,100.0,73,108,16.014930725097656,0.001,,
,,0.040524519979953766,11000,10899,,,,16.29186248779297,0.001,-55.33413098,100.0
154,-53.06367687,0.030726071447134018,11200,11099,100.0,72,112,16.455303192138672,0.001,,
,,0.04239608719944954,11500,11399,,,,16.799514770507812,0.001,-53.20061181999999,100.0
160,-53.14664930000001,0.033478930592536926,11600,11499,100.0,72,116,17.0971736907959,0.001,,
,,0.03582596778869629,12000,11899,,,,17.424968719482422,0.001,-50.346715159999995,100.0
167,-52.94736936,,12000,,100.0,71,120,,,,
169,-52.53742383000001,0.04209306091070175,12400,12299,100.0,73,124,18.01751708984375,0.001,,
,,0.05046797916293144,12500,12399,,,,18.13227081298828,0.001,-46.60408016,100.0
