train/ent_coef,train/critic_loss,time/episodes,time/fps,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,train/n_updates,eval/mean_reward,eval/mean_ep_length
0.9144091010093689,0.2612174451351166,4,131,3,-1.0532841682434082,100.0,400,-10.248212814331055,0.0003,-151.46677449999999,299,,
0.887391984462738,0.2198573350906372,,,,-1.402362585067749,,500,-10.900752067565918,0.0003,,399,-48.23731724000001,100.0
0.8110917210578918,0.15642207860946655,8,75,10,-2.4576473236083984,100.0,800,-13.209362030029297,0.0003,-150.66220562499998,699,,
0.7639230489730835,0.1289743185043335,,,,-3.1554412841796875,,1000,-14.709760665893555,0.0003,,899,-57.37780914,100.0
0.7194940447807312,0.12023060768842697,12,57,20,-3.8605942726135254,100.0,1200,-16.035871505737305,0.0003,-151.24410874999998,1099,,
0.6576101779937744,0.11954505741596222,,,,-4.897624492645264,,1500,-17.64520263671875,0.0003,,1399,-53.43883292,100.0
0.6381826400756836,0.1322993040084839,16,48,32,-5.26129674911499,100.0,1600,-18.06127166748047,0.0003,-151.30024225,1499,,
0.5660690665245056,0.08809231221675873,,,,-6.6676249504089355,,2000,-19.65578842163086,0.0003,,1899,-47.74940472000001,100.0
,,20,45,43,,100.0,2000,,,-149.42045009999998,,,
0.5021554827690125,0.09429484605789185,24,48,49,-8.105600357055664,100.0,2400,-20.410873413085938,0.0003,-147.87559975000002,2299,,
0.48736077547073364,0.08831959962844849,,,,-8.393674850463867,,2500,-20.633319854736328,0.0003,,2399,-45.3739297,100.0
0.4455713629722595,0.08969707787036896,28,45,61,-9.377581596374512,100.0,2800,-21.076934814453125,0.0003,-146.90889232142857,2699,,
0.41976338624954224,0.08357961475849152,,,,-10.051486015319824,,3000,-21.025110244750977,0.0003,,2899,-45.05655914000001,100.0
0.39548808336257935,0.08658050745725632,32,43,74,-10.708477973937988,100.0,3200,-21.167381286621094,0.0003,-145.29110774999998,3099,,
0.36174288392066956,0.07493774592876434,,,,-11.737101554870605,,3500,-21.251850128173828,0.0003,,3399,-45.70148524000001,100.0
0.35116782784461975,0.0767904669046402,36,41,86,-12.062681198120117,100.0,3600,-20.879487991333008,0.0003,-142.4300630555555,3499,,
0.31195271015167236,0.0638432502746582,,,,-13.325236320495605,,4000,-20.78179168701172,0.0003,,3899,-46.676535999999984,100.0
,,40,40,98,,100.0,4000,,,-140.178265675,,,
0.27726349234580994,0.05414871871471405,44,42,102,-14.352764129638672,100.0,4400,-19.878490447998047,0.0003,-137.45471025000003,4299,,
0.2692393660545349,0.043553903698921204,,,,-14.757678985595703,,4500,-19.626346588134766,0.0003,,4399,-51.89878984,100.0
0.24658462405204773,0.053830668330192566,48,41,115,-15.225201606750488,100.0,4800,-19.28858184814453,0.0003,-135.23071208333332,4699,,
0.23259802162647247,0.04772746562957764,,,,-15.987693786621094,,5000,-18.552902221679688,0.0003,,4899,-48.722320520000004,100.0
0.21944555640220642,0.051027704030275345,52,40,127,-16.5474910736084,100.0,5200,-18.083377838134766,0.0003,-132.73346046153844,5099,,
0.2011677324771881,0.03889142721891403,,,,-17.2030029296875,,5500,-17.31205940246582,0.0003,,5399,-46.42547504,100.0
0.19544212520122528,0.03665405884385109,56,39,140,-17.350738525390625,100.0,5600,-17.085294723510742,0.0003,-130.56679328571428,5499,,
0.1742081195116043,0.037146590650081635,,,,-18.140596389770508,,6000,-15.906911849975586,0.0003,,5899,-47.07080038000001,100.0
,,60,39,153,,100.0,6000,,,-128.15765661666666,,,
0.15541744232177734,0.02635229378938675,64,40,157,-18.745254516601562,100.0,6400,-14.714794158935547,0.0003,-125.86482850000002,6299,,
0.1510683298110962,0.023362740874290466,,,,-18.909135818481445,,6500,-14.391525268554688,0.0003,,6399,-46.246096859999994,100.0
0.13878583908081055,0.026050835847854614,68,40,169,-19.24161148071289,100.0,6800,-13.297891616821289,0.0003,-123.19890895588236,6699,,
0.13120175898075104,0.023008739575743675,,,,-19.520423889160156,,7000,-12.813240051269531,0.0003,,6899,-45.3163189,100.0
0.12406346946954727,0.022978799417614937,72,39,182,-19.952056884765625,100.0,7200,-12.263471603393555,0.0003,-121.025854625,7099,,
0.11412004381418228,0.02076907269656658,,,,-20.226102828979492,,7500,-11.033639907836914,0.0003,,7399,-45.897681899999995,100.0
0.11100000888109207,0.026002144441008568,76,38,194,-19.925373077392578,100.0,7600,-10.868203163146973,0.0003,-118.71471964473683,7499,,
0.09937556087970734,0.02081155590713024,,,,-19.83934783935547,,8000,-9.56056022644043,0.0003,,7899,-43.31645802,100.0
,,80,38,207,,100.0,8000,,,-116.44518324999999,,,
0.08903132379055023,0.01739540696144104,84,39,212,-20.752685546875,100.0,8400,-8.252626419067383,0.0003,-114.3840139047619,8299,,
0.08662384748458862,0.01792169362306595,,,,-20.184690475463867,,8500,-8.179106712341309,0.0003,,8399,-41.940423259999996,100.0
0.07981405407190323,0.017572522163391113,88,39,225,-21.033552169799805,100.0,8800,-6.967911720275879,0.0003,-112.19146268181818,8699,,
0.07559724152088165,0.016751473769545555,,,,-21.080692291259766,,9000,-6.41549015045166,0.0003,,8899,-42.567787419999995,100.0
0.07161262631416321,0.01682122051715851,92,38,237,-20.406597137451172,100.0,9200,-5.746100425720215,0.0003,-110.19872728260871,9099,,
0.06605222821235657,0.016405485570430756,,,,-20.28030776977539,,9500,-4.936150550842285,0.0003,,9399,-42.72697469999999,100.0
0.06430574506521225,0.015844125300645828,96,38,250,-20.95779800415039,100.0,9600,-4.35320520401001,0.0003,-108.04744671875,9499,,
0.05779118835926056,0.016702651977539062,,,,-19.82681655883789,,10000,-3.2949752807617188,0.0003,,9899,-42.91934722,100.0
,,100,38,262,,100.0,10000,,,-105.97228199,,,
0.05197097361087799,0.01586519554257393,104,38,267,-19.534332275390625,100.0,10400,-2.167815685272217,0.0003,-102.33694992,10299,,
0.05061854422092438,0.017197933048009872,,,,-20.40558433532715,,10500,-1.953786849975586,0.0003,,10399,-42.098150800000006,100.0
0.0467698872089386,0.015404409728944302,108,38,279,-18.989154815673828,100.0,10800,-1.0684914588928223,0.0003,-98.70934798,10699,,
0.04437732324004173,0.014124010689556599,,,,-19.446117401123047,,11000,-0.5117067098617554,0.0003,,10899,-43.45019092,100.0
0.0421200655400753,0.01863742060959339,112,38,292,-18.797344207763672,100.0,11200,0.27839821577072144,0.0003,-94.78443128999997,11099,,
0.03897310420870781,0.016783077269792557,,,,-18.855953216552734,,11500,0.7470697164535522,0.0003,,11399,-40.969205120000005,100.0
0.037980202585458755,0.019850067794322968,116,38,304,-18.638134002685547,100.0,11600,1.1345878839492798,0.0003,-90.89947362999999,11499,,
0.034280478954315186,0.016387976706027985,,,,-17.401512145996094,,12000,2.4307823181152344,0.0003,,11899,-39.87885194,100.0
,,120,37,317,,100.0,12000,,,-87.35317556,,,
0.030974263325333595,0.01761978305876255,124,38,322,-17.260509490966797,100.0,12400,3.1777610778808594,0.0003,-83.64670835000001,12299,,
0.03020452708005905,0.01573386788368225,,,,-17.30853271484375,,12500,3.4251346588134766,0.0003,,12399,-38.38021474,100.0
0.028027497231960297,0.01657985895872116,128,38,334,-16.495092391967773,100.0,12800,3.903899669647217,0.0003,-79.88041342,12699,,
0.026676120236516,0.01814703270792961,,,,-16.38396644592285,,13000,4.424365997314453,0.0003,,12899,-39.056163719999994,100.0
0.02539323829114437,0.01441432535648346,132,38,347,-15.87015151977539,100.0,13200,4.981503963470459,0.0003,-76.56559382,13099,,
0.023601185530424118,0.016917891800403595,,,,-14.558967590332031,,13500,5.28788948059082,0.0003,,13399,-38.89450416,100.0
0.023038795217871666,0.014397788792848587,136,37,359,-14.259321212768555,100.0,13600,5.736676216125488,0.0003,-73.60554219999999,13499,,
0.020937781780958176,0.015332616865634918,,,,-13.900283813476562,,14000,6.517853736877441,0.0003,,13899,-39.16694570000001,100.0
,,140,37,372,,100.0,14000,,,-70.66411343,,,
0.01906174048781395,0.014569470658898354,144,38,377,-13.01397705078125,100.0,14400,7.2371063232421875,0.0003,-68.11710532000001,14299,,
0.018623612821102142,0.017629019916057587,,,,-12.799474716186523,,14500,7.610957622528076,0.0003,,14399,-38.827822080000004,100.0
0.0173784289509058,0.016443796455860138,148,37,390,-11.416808128356934,100.0,14800,8.066641807556152,0.0003,-65.38084438000001,14699,,
0.0166119746863842,0.013150407001376152,,,,-12.332380294799805,,15000,8.489593505859375,0.0003,,14899,-39.850163540000004,100.0
0.01588478498160839,0.01470339484512806,152,37,402,-10.534765243530273,100.0,15200,8.683212280273438,0.0003,-63.03509005000001,15099,,
0.014863155782222748,0.01385541819036007,,,,-10.239843368530273,,15500,9.053683280944824,0.0003,,15399,-37.855605319999995,100.0
0.01454464066773653,0.012897642329335213,156,37,415,-10.255744934082031,100.0,15600,9.58984661102295,0.0003,-60.69911387,15499,,
0.013365267775952816,0.012202808633446693,,,,-10.314315795898438,,16000,10.213031768798828,0.0003,,15899,-38.52739356,100.0
,,160,37,428,,100.0,16000,,,-58.47485348,,,
0.012319709174335003,0.014154518023133278,164,37,433,-6.785248279571533,100.0,16400,10.891469955444336,0.0003,-56.53913567000001,16299,,
0.012080531567335129,0.011046003550291061,,,,-6.497438430786133,,16500,11.026906967163086,0.0003,,16399,-37.72939712,100.0
0.01140747033059597,0.011289199814200401,168,37,445,-6.640931606292725,100.0,16800,11.386568069458008,0.0003,-54.95729655,16699,,
0.01099732518196106,0.01312599889934063,,,,-6.409135341644287,,17000,11.8742094039917,0.0003,,16899,-37.9901251,100.0
0.010618621483445168,0.01371727790683508,172,37,457,-5.622081279754639,100.0,17200,12.04942512512207,0.0003,-53.043186750000004,17099,,
0.010105306282639503,0.01197766698896885,,,,-4.251364707946777,,17500,12.437089920043945,0.0003,,17399,-38.32597888,100.0
0.009949762374162674,0.013180403038859367,176,37,470,-2.6910839080810547,100.0,17600,12.59019660949707,0.0003,-51.86715643,17499,,
0.009379730559885502,0.013458527624607086,,,,-2.9585227966308594,,18000,13.17756462097168,0.0003,,17899,-38.96893658,100.0
,,180,37,483,,100.0,18000,,,-50.64081878,,,
0.008908755145967007,0.011894436553120613,184,37,487,-1.3322715759277344,100.0,18400,13.71052360534668,0.0003,-49.462053669999996,18299,,
0.008799873292446136,0.012766992673277855,,,,-1.8643327951431274,,18500,13.974000930786133,0.0003,,18399,-38.804655419999996,100.0
0.008537203073501587,0.012667138129472733,188,37,500,-1.5306477546691895,100.0,18800,14.391645431518555,0.0003,-48.41837764000001,18699,,
0.008394444361329079,0.011511501856148243,,,,-1.0857524871826172,,19000,14.530634880065918,0.0003,,18899,-39.057772840000005,100.0
0.00825685914605856,0.010952134616672993,192,37,512,-0.6511186957359314,100.0,19200,14.818763732910156,0.0003,-47.44228493,19099,,
0.008101548068225384,0.010861847549676895,,,,-1.6209614276885986,,19500,15.162065505981445,0.0003,,19399,-38.96920386,100.0
0.008063816465437412,0.014127294532954693,196,37,525,-3.169344186782837,100.0,19600,15.530712127685547,0.0003,-46.67420098999998,19499,,
0.007944315671920776,0.012411567382514477,,,,0.5471978187561035,,20000,15.915027618408203,0.0003,,19899,-38.20278714,100.0
,,200,37,537,,100.0,20000,,,-46.37025492999998,,,
0.007924347184598446,0.009991133585572243,204,37,542,-0.18742653727531433,100.0,20400,16.1676025390625,0.0003,-45.43144104,20299,,
0.007921166718006134,0.010737280361354351,,,,-0.8321669697761536,,20500,16.442073822021484,0.0003,,20399,-37.6901066,100.0
0.007951593026518822,0.009709903970360756,208,37,554,-1.2427691221237183,100.0,20800,16.87368392944336,0.0003,-44.60106982,20699,,
0.007970315404236317,0.010003592818975449,,,,-0.26663851737976074,,21000,17.027141571044922,0.0003,,20899,-37.395927480000005,100.0
0.008013064041733742,0.010673407465219498,212,37,567,0.5006603598594666,100.0,21200,17.264312744140625,0.0003,-44.118584680000005,21099,,
0.008070305921137333,0.012769553810358047,,,,1.406354308128357,,21500,17.47381591796875,0.0003,,21399,-37.92815438,100.0
0.008092556148767471,0.011764027178287506,216,37,579,0.7899972200393677,100.0,21600,17.906030654907227,0.0003,-43.474117080000006,21499,,
0.008126148022711277,0.010428466834127903,,,,0.8168403506278992,,22000,18.370532989501953,0.0003,,21899,-37.103777699999995,100.0
,,220,37,592,,100.0,22000,,,-42.846012280000004,,,
0.008209035731852055,0.011380510404706001,224,37,596,-0.12719854712486267,100.0,22400,18.58859634399414,0.0003,-42.46608269,22299,,
0.00819028727710247,0.011487379670143127,,,,0.5123232007026672,,22500,19.06645965576172,0.0003,,22399,-36.93998536,100.0
0.008200330659747124,0.011534553952515125,228,37,609,0.5906260013580322,100.0,22800,19.349956512451172,0.0003,-41.990156989999996,22699,,
0.008203033357858658,0.009739264845848083,,,,0.356383740901947,,23000,19.202133178710938,0.0003,,22899,-38.096117320000005,100.0
0.00823893677443266,0.010120434686541557,232,37,622,0.276546835899353,100.0,23200,19.45793914794922,0.0003,-41.287063859999996,23099,,
0.00827592983841896,0.008912012912333012,,,,-1.2187628746032715,,23500,19.72856903076172,0.0003,,23399,-37.47601924,100.0
0.008262495510280132,0.008546238765120506,236,37,634,-1.7019717693328857,100.0,23600,20.016752243041992,0.0003,-41.19301699,23499,,
0.008335085585713387,0.010179322212934494,,,,0.8368462920188904,,24000,20.704511642456055,0.0003,,23899,-37.197515360000004,100.0
,,240,37,647,,100.0,24000,,,-40.95165624,,,
0.008350006304681301,0.015636412426829338,244,37,652,0.5555655360221863,100.0,24400,20.779727935791016,0.0003,-40.670152550000005,24299,,
0.008340885862708092,0.011228823103010654,,,,1.9930888414382935,,24500,20.648914337158203,0.0003,,24399,-36.897815699999995,100.0
0.008439761586487293,0.013197082094848156,248,37,664,-1.3389992713928223,100.0,24800,21.37216567993164,0.0003,-40.54224476,24699,,
0.008437174372375011,0.009689487516880035,,,,-0.5100406408309937,,25000,21.085140228271484,0.0003,,24899,-38.218803740000006,100.0
0.008502248674631119,0.01201307401061058,252,37,677,-0.871903121471405,100.0,25200,21.465869903564453,0.0003,-40.29639584,25099,,
0.008447363041341305,0.00965879112482071,,,,0.3564167618751526,,25500,21.87749481201172,0.0003,,25399,-37.6639611,100.0
0.008485104888677597,0.01324942521750927,256,37,689,0.362746000289917,100.0,25600,21.790557861328125,0.0003,-40.00770558999999,25499,,
0.008698512800037861,0.011085565201938152,,,,-0.8264580965042114,,26000,22.42261505126953,0.0003,,25899,-36.80178672,100.0
,,260,37,702,,100.0,26000,,,-39.989432230000006,,,
0.008693338371813297,0.013826800510287285,264,37,706,-0.05716437101364136,100.0,26400,22.832138061523438,0.0003,-39.82880223,26299,,
