time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/fps,train/actor_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
3,-155.073596,0.21213360130786896,110,-10.077896118164062,400,299,4,100.0,0.9143851399421692,-1.0490853786468506,0.0003,,
,,0.19308879971504211,,-10.859781265258789,500,399,,,0.8873758912086487,-1.401505470275879,0.0003,100.0,-55.97625719999999
14,-155.253495,0.1397915482521057,55,-13.17868709564209,800,699,8,100.0,0.8110713362693787,-2.4583373069763184,0.0003,,
,,0.13805121183395386,,-14.607240676879883,1000,899,,,0.7638905644416809,-3.163478136062622,0.0003,100.0,-49.51365592
25,-153.93424641666664,0.10124688595533371,46,-15.833500862121582,1200,1099,12,100.0,0.7194210290908813,-3.8620524406433105,0.0003,,
,,0.11167046427726746,,-17.417255401611328,1500,1399,,,0.6574996113777161,-4.904693126678467,0.0003,100.0,-47.92557626
37,-153.99469781250002,0.08533702045679092,42,-17.893861770629883,1600,1499,16,100.0,0.6380733251571655,-5.261967658996582,0.0003,,
,,0.09164069592952728,,-19.339384078979492,2000,1899,,,0.5659883618354797,-6.705601692199707,0.0003,100.0,-45.58220062
49,-152.44806645,,40,,2000,,20,100.0,,,,,
55,-151.22505575,0.09984034299850464,43,-20.342330932617188,2400,2299,24,100.0,0.5021222829818726,-8.043645858764648,0.0003,,
,,0.08423438668251038,,-20.488296508789062,2500,2399,,,0.4873390793800354,-8.38496208190918,0.0003,100.0,-45.640551259999995
67,-149.91629603571428,0.08929596841335297,41,-20.626514434814453,2800,2699,28,100.0,0.44558271765708923,-9.41950798034668,0.0003,,
,,0.076633021235466,,-20.75864028930664,3000,2899,,,0.4197903573513031,-10.134111404418945,0.0003,100.0,-47.04109082000001
80,-147.092380375,0.0789649486541748,39,-20.852375030517578,3200,3099,32,100.0,0.39552122354507446,-10.751572608947754,0.0003,,
,,0.05501696094870567,,-20.60706329345703,3500,3399,,,0.361801415681839,-11.747883796691895,0.0003,100.0,-49.980561959999996
91,-145.05755277777777,0.08150333911180496,39,-20.58298110961914,3600,3499,36,100.0,0.3512285649776459,-12.05443000793457,0.0003,,
,,0.06374463438987732,,-20.155906677246094,4000,3899,,,0.3120419383049011,-13.134016036987305,0.0003,100.0,-51.96237368
104,-142.47304485,,38,,4000,,40,100.0,,,,,
109,-140.0507904318182,0.04999274015426636,40,-19.469966888427734,4400,4299,44,100.0,0.27737948298454285,-14.371116638183594,0.0003,,
,,0.0513029545545578,,-19.250057220458984,4500,4399,,,0.2693603038787842,-14.662945747375488,0.0003,100.0,-50.685982100000004
121,-137.58699581250002,0.04479099437594414,39,-18.732166290283203,4800,4699,48,100.0,0.24673543870449066,-15.533973693847656,0.0003,,
,,0.040296513587236404,,-18.07026481628418,5000,4899,,,0.23276479542255402,-15.834620475769043,0.0003,100.0,-48.90414584
134,-134.91453759615385,0.04714439809322357,38,-17.448688507080078,5200,5099,52,100.0,0.21962842345237732,-16.396133422851562,0.0003,,
,,0.03775477036833763,,-16.691455841064453,5500,5399,,,0.20137399435043335,-16.952754974365234,0.0003,100.0,-46.19310482
147,-132.74930714285716,0.035195693373680115,38,-16.378707885742188,5600,5499,56,100.0,0.1956518441438675,-17.34491539001465,0.0003,,
,,0.04273953661322594,,-15.40097713470459,6000,5899,,,0.17441047728061676,-18.079740524291992,0.0003,100.0,-45.236663580000005
159,-130.47302225,,37,,6000,,60,100.0,,,,,
164,-128.09604940625,0.03163395822048187,38,-14.133050918579102,6400,6299,64,100.0,0.15560822188854218,-18.932828903198242,0.0003,,
,,0.02797403745353222,,-13.740888595581055,6500,6399,,,0.15125314891338348,-19.004528045654297,0.0003,100.0,-47.393349
177,-125.78607626470587,0.024881955236196518,38,-12.701115608215332,6800,6699,68,100.0,0.13894778490066528,-19.349666595458984,0.0003,,
,,0.02397725358605385,,-11.990029335021973,7000,6899,,,0.13133279979228973,-19.576414108276367,0.0003,100.0,-47.226591199999994
189,-123.43867644444445,0.021693572402000427,37,-11.284255981445312,7200,7099,72,100.0,0.12415599077939987,-19.840713500976562,0.0003,,
,,0.02067868784070015,,-10.236785888671875,7500,7399,,,0.11416319012641907,-20.361740112304688,0.0003,100.0,-44.38384126
202,-121.02406638157895,0.022837959229946136,37,-10.154508590698242,7600,7499,76,100.0,0.11102642118930817,-20.053359985351562,0.0003,,
,,0.02492397464811802,,-8.702617645263672,8000,7899,,,0.09936787933111191,-20.108203887939453,0.0003,100.0,-44.9680981
214,-118.55038119999999,,37,,8000,,80,100.0,,,,,
219,-116.58709752380953,0.01930425502359867,38,-7.461172103881836,8400,8299,84,100.0,0.08900554478168488,-20.755760192871094,0.0003,,
,,0.018875109031796455,,-7.221958160400391,8500,8399,,,0.0865994244813919,-20.29820442199707,0.0003,100.0,-42.51597924000001
231,-114.63568293181817,0.01969016343355179,37,-5.763692378997803,8800,8699,88,100.0,0.0797819048166275,-20.74806785583496,0.0003,,
,,0.01669299043715,,-5.419746398925781,9000,8899,,,0.07555702328681946,-20.366901397705078,0.0003,100.0,-41.55961776
243,-112.62932692391303,0.016957828775048256,37,-4.72939395904541,9200,9099,92,100.0,0.07156994938850403,-20.421375274658203,0.0003,,
,,0.019857745617628098,,-3.9472293853759766,9500,9399,,,0.06600259989500046,-21.048900604248047,0.0003,100.0,-39.473532760000005
256,-110.40961878125,0.0170664731413126,37,-3.527398109436035,9600,9499,96,100.0,0.06424890458583832,-21.21931266784668,0.0003,,
,,0.020842233672738075,,-2.2662100791931152,10000,9899,,,0.057724494487047195,-21.131216049194336,0.0003,100.0,-39.09030176
268,-108.50636443000002,,37,,10000,,100,100.0,,,,,
273,-104.53346932999997,0.01677078567445278,37,-1.0790036916732788,10400,10299,104,100.0,0.05190860107541084,-20.26021385192871,0.0003,,
,,0.01479283720254898,,-0.8998138904571533,10500,10399,,,0.050558045506477356,-19.480180740356445,0.0003,100.0,-38.36672102
286,-100.29857486999998,0.017891082912683487,37,0.047206033021211624,10800,10699,108,100.0,0.04671452194452286,-19.222347259521484,0.0003,,
,,0.016325190663337708,,0.6141695976257324,11000,10899,,,0.04433573782444,-19.762908935546875,0.0003,100.0,-40.360562540000004
298,-96.43309543000001,0.017703302204608917,37,1.0296103954315186,11200,11099,112,100.0,0.042084239423274994,-19.80217170715332,0.0003,,
,,0.018305402249097824,,2.019571304321289,11500,11399,,,0.038941603153944016,-18.95754051208496,0.0003,100.0,-37.748540719999994
311,-92.16580372,0.017285384237766266,37,2.2768988609313965,11600,11499,116,100.0,0.03795146569609642,-18.661733627319336,0.0003,,
,,0.018711131066083908,,3.0140023231506348,12000,11899,,,0.03425801172852516,-18.239696502685547,0.0003,100.0,-40.569431900000005
323,-88.38975800999998,,37,,12000,,120,100.0,,,,,
328,-84.73307511000002,0.01731511950492859,37,3.947065830230713,12400,12299,124,100.0,0.03095945343375206,-16.801097869873047,0.0003,,
,,0.01612306386232376,,4.300209999084473,12500,12399,,,0.03019319288432598,-16.83283042907715,0.0003,100.0,-39.62016852
341,-80.92719253000001,0.01822028122842312,37,5.23369026184082,12800,12699,128,100.0,0.02800896018743515,-17.545509338378906,0.0003,,
,,0.01799320988357067,,5.761075019836426,13000,12899,,,0.02664942294359207,-16.50005340576172,0.0003,100.0,-38.00395774
354,-77.93585622999998,0.01759195700287819,37,5.922061920166016,13200,13099,132,100.0,0.025363784283399582,-16.418926239013672,0.0003,,
,,0.016460880637168884,,6.450080871582031,13500,13399,,,0.023561453446745872,-14.992431640625,0.0003,100.0,-37.75777486
366,-74.50925296999999,0.016165893524885178,37,6.692058563232422,13600,13499,136,100.0,0.022992882877588272,-14.126028060913086,0.0003,,
,,0.016431141644716263,,7.728106498718262,14000,13899,,,0.02088642679154873,-13.1314115524292,0.0003,100.0,-37.60247102
379,-71.62269959,,36,,14000,,140,100.0,,,,,
384,-68.55653391999999,0.016486477106809616,37,8.440308570861816,14400,14299,144,100.0,0.019018687307834625,-12.288359642028809,0.0003,,
,,0.013905736617743969,,8.645570755004883,14500,14399,,,0.01858261413872242,-11.943438529968262,0.0003,100.0,-37.91948472
396,-65.92839233,0.014216328039765358,37,9.302823066711426,14800,14699,148,100.0,0.017355822026729584,-12.180933952331543,0.0003,,
,,0.013505281880497932,,9.383931159973145,15000,14899,,,0.01659572124481201,-11.20765495300293,0.0003,100.0,-36.9768439
409,-63.64595738000002,0.015471097081899643,37,9.877626419067383,15200,15099,152,100.0,0.01588248834013939,-10.706718444824219,0.0003,,
,,0.01439488586038351,,10.31146240234375,15500,15399,,,0.014891957864165306,-10.139327049255371,0.0003,100.0,-36.935731260000004
421,-61.03964144,0.013675016351044178,36,10.916482925415039,15600,15499,156,100.0,0.014580930583178997,-9.365211486816406,0.0003,,
,,0.01415310613811016,,11.043333053588867,16000,15899,,,0.013432871550321579,-7.68377161026001,0.0003,100.0,-37.984214820000005
434,-58.91313361,,36,,16000,,160,100.0,,,,,
439,-56.80680522000001,0.013684356585144997,37,11.753202438354492,16400,16299,164,100.0,0.012419507838785648,-6.977334499359131,0.0003,,
,,0.013841363601386547,,11.952234268188477,16500,16399,,,0.012187675572931767,-7.188743591308594,0.0003,100.0,-37.35675842
452,-55.00091439,0.01351938396692276,37,12.341360092163086,16800,16699,168,100.0,0.011538800783455372,-5.982304573059082,0.0003,,
,,0.01167488843202591,,13.08631706237793,17000,16899,,,0.011138238944113255,-4.152117729187012,0.0003,100.0,-37.3495367
464,-53.308860900000006,0.014872986823320389,37,13.17935562133789,17200,17099,172,100.0,0.010771142318844795,-3.88962984085083,0.0003,,
,,0.013872016221284866,,13.516632080078125,17500,17399,,,0.01027572900056839,-2.374674081802368,0.0003,100.0,-37.53121556
477,-51.84814819,0.01555436011403799,36,13.845017433166504,17600,17499,176,100.0,0.010126564651727676,-4.368086338043213,0.0003,,
,,0.014258105307817459,,14.42386245727539,18000,17899,,,0.009571893140673637,-3.3632349967956543,0.0003,100.0,-36.92907756
489,-50.800820990000005,,36,,18000,,180,100.0,,,,,
494,-49.11725393000002,0.011838776990771294,37,14.741742134094238,18400,18299,184,100.0,0.009107139892876148,-2.146770715713501,0.0003,,
,,0.012332040816545486,,15.07772159576416,18500,18399,,,0.00901236291974783,-0.9677260518074036,0.0003,100.0,-36.99286352000001
507,-47.79313713,0.010850107297301292,37,15.504800796508789,18800,18699,188,100.0,0.008764304220676422,-1.7543820142745972,0.0003,,
,,0.01292748749256134,,15.375005722045898,19000,18899,,,0.008608711883425713,-0.5295847654342651,0.0003,100.0,-37.15880988000001
519,-46.711565360000016,0.013620441779494286,36,15.96297836303711,19200,19099,192,100.0,0.008460008539259434,-0.8822460770606995,0.0003,,
,,0.011599074117839336,,16.222139358520508,19500,19399,,,0.008306660689413548,-0.9738794565200806,0.0003,100.0,-36.73432724
532,-45.73869476,0.01257588155567646,36,16.82425308227539,19600,19499,196,100.0,0.00826216023415327,-0.6713352203369141,0.0003,,
,,0.01341593824326992,,17.124313354492188,20000,19899,,,0.008154871873557568,-0.9210890531539917,0.0003,100.0,-36.720637339999996
544,-44.97684159000001,,36,,20000,,200,100.0,,,,,
550,-44.42212348,0.010961937718093395,37,17.501544952392578,20400,20299,204,100.0,0.008055669255554676,-0.4786269962787628,0.0003,,
,,0.010744955390691757,,17.856060028076172,20500,20399,,,0.00803293101489544,1.4747122526168823,0.0003,100.0,-37.600065279999995
562,-44.01967258,0.01270231045782566,36,18.138660430908203,20800,20699,208,100.0,0.008028550073504448,-1.1105457544326782,0.0003,,
,,0.010987325571477413,,18.311811447143555,21000,20899,,,0.008023727685213089,-1.1096553802490234,0.0003,100.0,-36.265032240000004
575,-43.47017790000001,0.011206026189029217,36,18.338253021240234,21200,21099,212,100.0,0.00801281537860632,0.8460208177566528,0.0003,,
,,0.010651281103491783,,18.732528686523438,21500,21399,,,0.008030862547457218,-0.5513338446617126,0.0003,100.0,-36.39793942
587,-43.13569044999999,0.011950764805078506,36,18.890878677368164,21600,21499,216,100.0,0.008015379309654236,-0.44889137148857117,0.0003,,
,,0.0109065230935812,,19.41558265686035,22000,21899,,,0.007994222454726696,0.6984767913818359,0.0003,100.0,-37.42579956
600,-42.75662961000001,,36,,22000,,220,100.0,,,,,
605,-42.2870122,0.010947363451123238,36,19.76070213317871,22400,22299,224,100.0,0.00795758981257677,0.3933712840080261,0.0003,,
,,0.012105019763112068,,19.93512725830078,22500,22399,,,0.007943179458379745,2.5278313159942627,0.0003,100.0,-36.45396576
618,-41.99958383999999,0.013984637334942818,36,20.28592300415039,22800,22699,228,100.0,0.00792698934674263,-1.190109133720398,0.0003,,
,,0.010811232030391693,,20.342235565185547,23000,22899,,,0.007956773974001408,-1.9735171794891357,0.0003,100.0,-36.506933919999994
630,-41.430597580000004,0.010953182354569435,36,20.984817504882812,23200,23099,232,100.0,0.007943263277411461,0.3667806386947632,0.0003,,
,,0.013179479166865349,,21.085927963256836,23500,23399,,,0.007938556373119354,0.3641948103904724,0.0003,100.0,-39.07715688
643,-41.329820309999995,0.014097930863499641,36,20.992904663085938,23600,23499,236,100.0,0.007953841239213943,1.0498840808868408,0.0003,,
,,0.012884054332971573,,21.49087905883789,24000,23899,,,0.007941964082419872,0.37132927775382996,0.0003,100.0,-37.94982906
655,-40.92710144,,36,,24000,,240,100.0,,,,,
