rollout/ep_len_mean,train/ent_coef_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,time/episodes,train/ent_coef,time/total_timesteps,train/critic_loss,time/time_elapsed,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
100.0,-1.0498735904693604,101,-10.271510124206543,-145.14715525,4,0.9144357442855835,400,0.21331734955310822,3,299,0.0003,,
,-1.405022144317627,,-11.138038635253906,,,0.887424886226654,500,0.272804319858551,,399,0.0003,100.0,-58.363879000000004
100.0,-2.4538426399230957,48,-13.451410293579102,-147.42255799999998,8,0.8111563324928284,800,0.18800131976604462,16,699,0.0003,,
,-3.1498124599456787,,-14.950532913208008,,,0.7639785408973694,1000,0.1531069427728653,,899,0.0003,100.0,-55.55307386
100.0,-3.8629813194274902,41,-16.20523452758789,-148.97894016666666,12,0.7195338606834412,1200,0.129197895526886,28,1099,0.0003,,
,-4.939023494720459,,-17.877073287963867,,,0.6576157808303833,1500,0.12074831128120422,,1399,0.0003,100.0,-56.33210510000001
100.0,-5.275422096252441,38,-18.394515991210938,-148.80443918749998,16,0.6381800174713135,1600,0.0922243669629097,41,1499,0.0003,,
,-6.663748741149902,,-19.737380981445312,,,0.5660391449928284,2000,0.11231676489114761,,1899,0.0003,100.0,-55.63301574000001
100.0,,37,,-149.39394910000001,20,,2000,,53,,,,
100.0,-7.9761457443237305,40,-20.708606719970703,-147.65104604166666,24,0.5021258592605591,2400,0.0808902382850647,58,2299,0.0003,,
,-8.407886505126953,,-21.06682777404785,,,0.4873238503932953,2500,0.08032496273517609,,2399,0.0003,100.0,-47.222664959999996
100.0,-9.44251537322998,39,-21.12740707397461,-147.71915339285715,28,0.44553688168525696,2800,0.07922519743442535,71,2699,0.0003,,
,-10.053247451782227,,-21.194103240966797,,,0.4197387397289276,3000,0.07778433710336685,,2899,0.0003,100.0,-48.907794280000005
100.0,-10.755077362060547,38,-21.203487396240234,-145.91209725,32,0.39546120166778564,3200,0.08788339793682098,83,3099,0.0003,,
,-11.743796348571777,,-20.994220733642578,,,0.36171281337738037,3500,0.09286689013242722,,3399,0.0003,100.0,-53.231286020000006
100.0,-12.051064491271973,37,-21.007736206054688,-143.89598294444443,36,0.35112959146499634,3600,0.06594237685203552,96,3499,0.0003,,
,-13.307771682739258,,-20.515464782714844,,,0.3118966221809387,4000,0.06682588160037994,,3899,0.0003,100.0,-55.136790519999984
100.0,,36,,-141.903146325,40,,4000,,108,,,,
100.0,-14.460437774658203,38,-19.8863582611084,-139.91874077272726,44,0.27720019221305847,4400,0.06141841411590576,114,4299,0.0003,,
,-14.772562980651855,,-19.66489601135254,,,0.26917389035224915,4500,0.052536096423864365,,4399,0.0003,100.0,-51.744650199999995
100.0,-15.546871185302734,37,-19.028350830078125,-137.65551502083335,48,0.24651537835597992,4800,0.04264300316572189,126,4699,0.0003,,
,-16.081438064575195,,-18.453800201416016,,,0.2325286716222763,5000,0.04640338197350502,,4899,0.0003,100.0,-55.17928366
100.0,-16.44562530517578,37,-17.92715835571289,-135.59867053846153,52,0.21937787532806396,5200,0.0455077700316906,138,5099,0.0003,,
,-17.136947631835938,,-16.980815887451172,,,0.20111384987831116,5500,0.03304242342710495,,5399,0.0003,100.0,-47.250880239999994
100.0,-17.24121856689453,36,-16.981740951538086,-133.25876817857142,56,0.19539044797420502,5600,0.04271452873945236,151,5499,0.0003,,
,-18.163883209228516,,-15.559032440185547,,,0.1741527020931244,6000,0.029660481959581375,,5899,0.0003,100.0,-49.521709619999996
