train/learning_rate,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.0003,3,-9.951139450073242,0.24008189141750336,100.0,400,4,-154.60421200000002,0.9144186973571777,299,-1.053520917892456,122,,
0.0003,,-10.635051727294922,0.1915319561958313,,500,,,0.8873821496963501,399,-1.4021506309509277,,100.0,-57.35137672
0.0003,15,-13.041141510009766,0.12553051114082336,100.0,800,8,-152.509596875,0.811080813407898,699,-2.4645519256591797,51,,
0.0003,,-14.379335403442383,0.11498241126537323,,1000,,,0.7638915777206421,899,-3.1502957344055176,,100.0,-59.680608840000005
0.0003,28,-15.677251815795898,0.12261652201414108,100.0,1200,12,-152.12652649999998,0.7194437980651855,1099,-3.8752193450927734,42,,
0.0003,,-17.35761260986328,0.12510433793067932,,1500,,,0.6575502157211304,1399,-4.910587787628174,,100.0,-59.046894300000005
0.0003,40,-17.916954040527344,0.10434933751821518,100.0,1600,16,-151.39336131250002,0.6381382942199707,1499,-5.276767730712891,39,,
0.0003,,-19.166839599609375,0.11065821349620819,,2000,,,0.5660748481750488,1899,-6.662771224975586,,100.0,-56.00018626
,53,,,100.0,2000,20,-151.11498600000002,,,,37,,
0.0003,58,-20.118938446044922,0.09398889541625977,100.0,2400,24,-149.954596625,0.502219021320343,2299,-8.045923233032227,41,,
0.0003,,-20.31995964050293,0.1061173528432846,,2500,,,0.4874228537082672,2399,-8.367956161499023,,100.0,-51.03896366
0.0003,70,-20.682117462158203,0.07631315290927887,100.0,2800,28,-148.34018342857144,0.4456411600112915,2699,-9.406789779663086,39,,
0.0003,,-20.658475875854492,0.08750385046005249,,3000,,,0.4198307394981384,2899,-10.092267990112305,,100.0,-49.40611776
0.0003,83,-20.680984497070312,0.07521998882293701,100.0,3200,32,-147.2012729375,0.39553967118263245,3099,-10.746334075927734,38,,
0.0003,,-20.653553009033203,0.0688902884721756,,3500,,,0.36176830530166626,3399,-11.812141418457031,,100.0,-48.46625706
0.0003,96,-20.411983489990234,0.06636281311511993,100.0,3600,36,-145.01030091666664,0.3511749505996704,3499,-12.020898818969727,37,,
0.0003,,-19.92255401611328,0.057675864547491074,,4000,,,0.31193602085113525,3899,-13.240084648132324,,100.0,-47.36690000000001
,108,,,100.0,4000,40,-142.340100075,,,,36,,
