train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.001,299,-142.64923575,400,2.345445156097412,100.0,4,221,0.011495821177959442,1,,
0.001,399,,500,2.3934121131896973,,,,0.010142479091882706,,-83.49749046,100.0
0.001,699,-109.894997875,800,2.624680995941162,100.0,8,97,0.007559436839073896,8,,
0.001,899,,1000,2.953547239303589,,,,0.0039144242182374,,-64.46570586,100.0
0.001,1099,-94.26755758333333,1200,3.1381278038024902,100.0,12,82,0.006257104687392712,14,,
0.001,1399,,1500,3.5455522537231445,,,,0.008807424455881119,,-63.92815292,100.0
0.001,1499,-86.282926875,1600,3.63488507270813,100.0,16,76,0.010944925248622894,21,,
0.001,1899,,2000,4.378650188446045,,,,0.015342791564762592,,-65.17085866000001,100.0
,,-81.97249955000001,2000,,100.0,20,72,,27,,
0.001,2299,-79.688711375,2400,5.045398712158203,100.0,24,80,0.013676336966454983,29,,
0.001,2399,,2500,5.043354034423828,,,,0.016137324273586273,,-71.61843714,100.0
0.001,2699,-78.43380860714285,2800,5.613430976867676,100.0,28,76,0.01595393754541874,36,,
0.001,2899,,3000,6.00745964050293,,,,0.015594086609780788,,-66.04346078,100.0
0.001,3099,-76.9382355625,3200,6.362844467163086,100.0,32,74,0.019078772515058517,42,,
0.001,3399,,3500,7.027140140533447,,,,0.020017605274915695,,-67.89756654000001,100.0
0.001,3499,-75.500242,3600,7.125082015991211,100.0,36,73,0.018642714247107506,49,,
0.001,3899,,4000,7.742107391357422,,,,0.02445400133728981,,-65.35543398,100.0
,,-74.73028392500001,4000,,100.0,40,71,,55,,
0.001,4299,-73.21273577272729,4400,8.42845630645752,100.0,44,75,0.021588806062936783,58,,
0.001,4399,,4500,8.549108505249023,,,,0.015189601108431816,,-68.07516506,100.0
0.001,4699,-72.26786522916667,4800,8.904596328735352,100.0,48,74,0.018554821610450745,64,,
0.001,4899,,5000,9.478185653686523,,,,0.021977193653583527,,-66.88683534000002,100.0
0.001,5099,-71.56861742307693,5200,9.876298904418945,100.0,52,73,0.02674359641969204,70,,
0.001,5399,,5500,10.439502716064453,,,,0.030524514615535736,,-65.37649306,100.0
0.001,5499,-71.45337794642857,5600,10.547574996948242,100.0,56,72,0.017710354179143906,77,,
0.001,5899,,6000,11.110801696777344,,,,0.039723269641399384,,-64.27046028,100.0
,,-71.07324366666667,6000,,100.0,60,71,,83,,
0.001,6299,-70.113528234375,6400,11.73652172088623,100.0,64,74,0.02667667344212532,86,,
0.001,6399,,6500,11.872446060180664,,,,0.027341272681951523,,-54.30507020000001,100.0
0.001,6699,-69.14708997058823,6800,12.385026931762695,100.0,68,73,0.04296873137354851,92,,
0.001,6899,,7000,12.601325035095215,,,,0.030720816925168037,,-52.89070378,100.0
0.001,7099,-67.96789538888889,7200,13.071836471557617,100.0,72,72,0.024284325540065765,99,,
0.001,7399,,7500,13.13357925415039,,,,0.024657554924488068,,-50.939222099999995,100.0
0.001,7499,-67.04102281578947,7600,13.423714637756348,100.0,76,71,0.025994306430220604,105,,
0.001,7899,,8000,13.901078224182129,,,,0.025518890470266342,,-53.77699468000001,100.0
,,-66.0003352375,8000,,100.0,80,71,,112,,
0.001,8299,-65.30102242857144,8400,14.591243743896484,100.0,84,73,0.05177505686879158,114,,
0.001,8399,,8500,14.639251708984375,,,,0.0298148263245821,,-49.152217639999996,100.0
0.001,8699,-64.41506675,8800,15.264622688293457,100.0,88,72,0.04070216044783592,121,,
0.001,8899,,9000,15.260248184204102,,,,0.030002973973751068,,-50.17299453999999,100.0
0.001,9099,-63.981559576086966,9200,15.363341331481934,100.0,92,72,0.042711175978183746,127,,
0.001,9399,,9500,15.80029296875,,,,0.03020384907722473,,-51.28709364,100.0
0.001,9499,-63.47603160416667,9600,15.831889152526855,100.0,96,71,0.033655229955911636,133,,
0.001,9899,,10000,16.671485900878906,,,,0.03964875638484955,,-49.66049742,100.0
,,-62.724890009999996,10000,,100.0,100,71,,140,,
0.001,10299,-58.87261345000001,10400,16.922008514404297,100.0,104,72,0.03578426316380501,142,,
0.001,10399,,10500,17.11798858642578,,,,0.03523585945367813,,-49.239032200000004,100.0
0.001,10699,-57.61264722000001,10800,17.591365814208984,100.0,108,72,0.044745780527591705,149,,
0.001,10899,,11000,17.680618286132812,,,,0.056975699961185455,,-49.0050238,100.0
0.001,11099,-56.99094770999999,11200,17.768524169921875,100.0,112,71,0.030706509947776794,155,,
0.001,11399,,11500,18.259315490722656,,,,0.050179608166217804,,-49.81066988,100.0
0.001,11499,-56.38167495999999,11600,18.228933334350586,100.0,116,71,0.036644358187913895,162,,
0.001,11899,,12000,18.95944595336914,,,,0.04105489328503609,,-52.57329790000001,100.0
,,-55.757662309999986,12000,,100.0,120,71,,168,,
0.001,12299,-54.88331244999999,12400,19.31083869934082,100.0,124,72,0.041105106472969055,171,,
0.001,12399,,12500,19.17897605895996,,,,0.03458867967128754,,-53.678658720000016,100.0
0.001,12699,-53.90822305,12800,19.574586868286133,100.0,128,71,0.03772754222154617,177,,
0.001,12899,,13000,19.838119506835938,,,,0.05538997799158096,,-53.489127800000006,100.0
0.001,13099,-53.23293093,13200,20.229148864746094,100.0,132,71,0.04802575707435608,184,,
0.001,13399,,13500,20.626060485839844,,,,0.04782913997769356,,-52.18993812000001,100.0
0.001,13499,-52.60636911,13600,20.595420837402344,100.0,136,71,0.0505838617682457,190,,
0.001,13899,,14000,21.0674991607666,,,,0.04229768365621567,,-51.50161882,100.0
,,-52.10869621,14000,,100.0,140,70,,197,,
0.001,14299,-51.69127815000001,14400,21.254470825195312,100.0,144,72,0.047332488000392914,199,,
0.001,14399,,14500,21.53219985961914,,,,0.05342121422290802,,-53.2684717,100.0
0.001,14699,-51.37542695,14800,21.581676483154297,100.0,148,71,0.03679578751325607,206,,
0.001,14899,,15000,22.098012924194336,,,,0.041897229850292206,,-57.80594172,100.0
0.001,15099,-50.98515122999999,15200,22.23739242553711,100.0,152,71,0.051414214074611664,212,,
0.001,15399,,15500,22.620874404907227,,,,0.04737389087677002,,-69.96525028,100.0
