time/episodes,rollout/ep_len_mean,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,time/fps,time/time_elapsed,train/n_updates,eval/mean_ep_length,eval/mean_reward
4,100.0,1.7528473138809204,0.001,-114.29312775,400,0.011017216369509697,216,1,299,,
,,1.9893648624420166,0.001,,500,0.011253628879785538,,,399,100.0,-115.88667530000001
8,100.0,2.4720873832702637,0.001,-106.87693999999999,800,0.004576297476887703,95,8,699,,
,,2.773914337158203,0.001,,1000,0.0051032742485404015,,,899,100.0,-64.03375298
12,100.0,3.0099902153015137,0.001,-92.558237,1200,0.006931577809154987,81,14,1099,,
,,3.306159496307373,0.001,,1500,0.006839012261480093,,,1399,100.0,-55.25149524000001
16,100.0,3.531111717224121,0.001,-82.93308593750001,1600,0.00902874581515789,75,21,1499,,
,,4.059518814086914,0.001,,2000,0.010485447943210602,,,1899,100.0,-52.28118626
20,100.0,,,-78.30852355,2000,,72,27,,,
24,100.0,4.576016902923584,0.001,-73.16514466666668,2400,0.01719723641872406,79,30,2299,,
,,4.778190612792969,0.001,,2500,0.020345518365502357,,,2399,100.0,-54.352354479999995
28,100.0,5.079273223876953,0.001,-69.94392589285715,2800,0.014752054587006569,76,36,2699,,
,,5.429540634155273,0.001,,3000,0.015321356244385242,,,2899,100.0,-51.9388594
32,100.0,5.721376419067383,0.001,-67.52450628125,3200,0.017555655911564827,74,43,3099,,
,,5.986907958984375,0.001,,3500,0.02394634112715721,,,3399,100.0,-52.940785479999995
36,100.0,6.37467622756958,0.001,-66.31677780555555,3600,0.01870150864124298,72,49,3499,,
,,6.862907886505127,0.001,,4000,0.019466940313577652,,,3899,100.0,-48.69703053999999
40,100.0,,,-64.91736395000001,4000,,71,56,,,
44,100.0,7.4179887771606445,0.001,-63.33047343181818,4400,0.023821014910936356,75,58,4299,,
,,7.496350288391113,0.001,,4500,0.020219575613737106,,,4399,100.0,-53.9325652
48,100.0,7.836127281188965,0.001,-62.638907499999995,4800,0.014098362065851688,73,64,4699,,
,,8.261180877685547,0.001,,5000,0.017491895705461502,,,4899,100.0,-52.3899163
52,100.0,8.583917617797852,0.001,-61.93782932692307,5200,0.020322788506746292,72,71,5099,,
,,8.940455436706543,0.001,,5500,0.018618959933519363,,,5399,100.0,-52.23787542
56,100.0,8.945215225219727,0.001,-61.433723053571434,5600,0.01894901692867279,72,77,5499,,
,,9.621565818786621,0.001,,6000,0.017785893753170967,,,5899,100.0,-59.27246356
60,100.0,,,-61.03896918333335,6000,,71,84,,,
64,100.0,10.225687026977539,0.001,-60.681557156249994,6400,0.022606823593378067,73,86,6299,,
,,10.375114440917969,0.001,,6500,0.028887975960969925,,,6399,100.0,-55.3400802
68,100.0,10.748794555664062,0.001,-60.38960739705881,6800,0.020423613488674164,73,93,6699,,
,,11.112045288085938,0.001,,7000,0.021763140335679054,,,6899,100.0,-48.2820148
72,100.0,11.400663375854492,0.001,-59.92619826388889,7200,0.0243539921939373,72,99,7099,,
,,11.575618743896484,0.001,,7500,0.02371446043252945,,,7399,100.0,-51.221902160000006
76,100.0,11.968402862548828,0.001,-59.22872094736842,7600,0.028896933421492577,71,105,7499,,
,,12.409907341003418,0.001,,8000,0.028280358761548996,,,7899,100.0,-48.338052499999996
80,100.0,,,-58.81622017500001,8000,,71,112,,,
84,100.0,12.89439582824707,0.001,-58.0294081904762,8400,0.031191235408186913,73,114,8299,,
,,13.03614330291748,0.001,,8500,0.028768442571163177,,,8399,100.0,-48.505154659999995
88,100.0,13.396194458007812,0.001,-57.61249256818182,8800,0.030367061495780945,72,121,8699,,
,,13.694124221801758,0.001,,9000,0.034369707107543945,,,8899,100.0,-59.45410262
92,100.0,13.931966781616211,0.001,-57.45084983695653,9200,0.025059178471565247,71,127,9099,,
,,14.315923690795898,0.001,,9500,0.02776079997420311,,,9399,100.0,-53.92631339999999
96,100.0,14.347993850708008,0.001,-57.45053320833333,9600,0.0414932556450367,71,134,9499,,
,,15.085025787353516,0.001,,10000,0.04327109456062317,,,9899,100.0,-45.163832819999996
100,100.0,,,-57.297758720000004,10000,,71,140,,,
104,100.0,15.710160255432129,0.001,-54.68181682,10400,0.039637889713048935,72,143,10299,,
,,15.914474487304688,0.001,,10500,0.04963047057390213,,,10399,100.0,-46.851780700000006
108,100.0,16.06414031982422,0.001,-52.972374069999994,10800,0.03426923602819443,72,149,10699,,
,,16.45371437072754,0.001,,11000,0.035416293889284134,,,10899,100.0,-47.53418722000001
112,100.0,16.937480926513672,0.001,-52.448804570000014,11200,0.04123246669769287,71,156,11099,,
,,16.88068389892578,0.001,,11500,0.040630534291267395,,,11399,100.0,-47.73756696
116,100.0,17.364017486572266,0.001,-52.410622679999996,11600,0.042627982795238495,71,162,11499,,
,,17.62066078186035,0.001,,12000,0.05911129340529442,,,11899,100.0,-47.92363322
120,100.0,,,-51.75472548,12000,,71,168,,,
124,100.0,18.07652473449707,0.001,-51.88154628,12400,0.03698735311627388,72,171,12299,,
,,18.295269012451172,0.001,,12500,0.0589757114648819,,,12399,100.0,-48.263612
128,100.0,18.444520950317383,0.001,-51.730255469999996,12800,0.07139423489570618,71,177,12699,,
,,18.89403533935547,0.001,,13000,0.03966096043586731,,,12899,100.0,-51.54403602
132,100.0,19.020763397216797,0.001,-51.769836930000004,13200,0.046913325786590576,71,184,13099,,
,,19.334938049316406,0.001,,13500,0.06423087418079376,,,13399,100.0,-49.82307858
136,100.0,19.749649047851562,0.001,-51.14673317,13600,0.06935617327690125,71,190,13499,,
,,19.905784606933594,0.001,,14000,0.04449580982327461,,,13899,100.0,-50.094358820000004
140,100.0,,,-50.96672020999999,14000,,70,197,,,
144,100.0,20.442890167236328,0.001,-50.77955261,14400,0.049068085849285126,72,199,14299,,
,,20.561321258544922,0.001,,14500,0.07977361977100372,,,14399,100.0,-50.511890380000004
148,100.0,20.741071701049805,0.001,-50.416869179999985,14800,0.0555875226855278,71,206,14699,,
,,20.978458404541016,0.001,,15000,0.04951019212603569,,,14899,100.0,-47.37354362
152,100.0,20.929244995117188,0.001,-50.17231782999998,15200,0.06124105304479599,71,212,15099,,
,,21.311914443969727,0.001,,15500,0.05390391871333122,,,15399,100.0,-47.42449182
156,100.0,21.652027130126953,0.001,-49.79833142,15600,0.07339605689048767,71,219,15499,,
,,21.97136878967285,0.001,,16000,0.06924323737621307,,,15899,100.0,-46.10100098
160,100.0,,,-49.21566767,16000,,70,225,,,
164,100.0,22.28655242919922,0.001,-49.036317630000006,16400,0.05560767278075218,71,228,16299,,
,,22.390274047851562,0.001,,16500,0.04724464938044548,,,16399,100.0,-47.039461120000006
168,100.0,23.047447204589844,0.001,-48.82413127999999,16800,0.039613306522369385,71,234,16699,,
,,22.66867446899414,0.001,,17000,0.0459359735250473,,,16899,100.0,-49.67244828
172,100.0,23.077896118164062,0.001,-48.81324002999999,17200,0.05885928124189377,71,241,17099,,
,,23.4300537109375,0.001,,17500,0.0676160603761673,,,17399,100.0,-49.401565579999996
176,100.0,23.749977111816406,0.001,-48.78974853999999,17600,0.06241505965590477,71,247,17499,,
,,23.811487197875977,0.001,,18000,0.07591058313846588,,,17899,100.0,-48.0821951
180,100.0,,,-48.469448780000015,18000,,70,253,,,
184,100.0,24.38619613647461,0.001,-48.64295563,18400,0.05669251084327698,71,256,18299,,
,,24.357162475585938,0.001,,18500,0.05959157645702362,,,18399,100.0,-50.51335614
188,100.0,24.82131004333496,0.001,-48.61520063,18800,0.05939460173249245,71,262,18699,,
,,25.057971954345703,0.001,,19000,0.06312355399131775,,,18899,100.0,-49.22740508000001
192,100.0,25.081756591796875,0.001,-48.44897879000001,19200,0.0738389790058136,71,269,19099,,
,,25.309152603149414,0.001,,19500,0.05214736610651016,,,19399,100.0,-55.45279834
196,100.0,25.22826385498047,0.001,-47.99846433999999,19600,0.07230290025472641,70,276,19499,,
,,26.107053756713867,0.001,,20000,0.07338244467973709,,,19899,100.0,-48.42430816
200,100.0,,,-47.629232659999985,20000,,70,282,,,
