rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,eval/mean_reward,eval/mean_ep_length
100.0,1,2.1188199520111084,299,0.001,0.009993553161621094,-132.60658575,400,4,217,,
,,2.1789448261260986,399,0.001,0.0072299824096262455,,500,,,-59.87446466,100.0
100.0,8,2.4205007553100586,699,0.001,0.006952357478439808,-96.259215125,800,8,96,,
,,2.6443018913269043,899,0.001,0.005393229424953461,,1000,,,-61.46104232,100.0
100.0,14,2.905921220779419,1099,0.001,0.009346578270196915,-83.8091635,1200,12,81,,
,,3.128324508666992,1399,0.001,0.010002638213336468,,1500,,,-57.30365515999999,100.0
100.0,21,3.2710633277893066,1499,0.001,0.023192105814814568,-76.566312875,1600,16,75,,
,,3.9036686420440674,1899,0.001,0.01669062301516533,,2000,,,-55.57559012000001,100.0
100.0,27,,,,,-72.8756422,2000,20,72,,
100.0,30,4.399402618408203,2299,0.001,0.013975104317069054,-70.01195508333333,2400,24,79,,
,,4.720970153808594,2399,0.001,0.014574266038835049,,2500,,,-56.43389327999999,100.0
100.0,36,5.107694149017334,2699,0.001,0.021126121282577515,-67.90867610714285,2800,28,76,,
,,5.357576370239258,2899,0.001,0.019815176725387573,,3000,,,-55.920826479999995,100.0
100.0,43,5.715096473693848,3099,0.001,0.02209286577999592,-66.62447534374999,3200,32,74,,
,,6.074528694152832,3399,0.001,0.024537159129977226,,3500,,,-61.84731635999999,100.0
100.0,49,6.379809856414795,3499,0.001,0.02184644341468811,-65.6006211388889,3600,36,72,,
,,6.931826591491699,3899,0.001,0.020550720393657684,,4000,,,-57.155688299999994,100.0
100.0,55,,,,,-63.94820505,4000,40,71,,
100.0,58,7.544264793395996,4299,0.001,0.023302622139453888,-63.17791343181818,4400,44,75,,
,,7.681771278381348,4399,0.001,0.018530316650867462,,4500,,,-54.40054224000001,100.0
100.0,64,8.131084442138672,4699,0.001,0.026354309171438217,-62.7897899375,4800,48,74,,
,,8.479522705078125,4899,0.001,0.02697017788887024,,5000,,,-54.9804078,100.0
100.0,71,8.6468505859375,5099,0.001,0.018994655460119247,-62.02953603846154,5200,52,73,,
,,9.15471076965332,5399,0.001,0.016532571986317635,,5500,,,-54.19263665999999,100.0
100.0,77,9.199185371398926,5499,0.001,0.020144907757639885,-61.17706246428572,5600,56,72,,
,,9.917240142822266,5899,0.001,0.0216752290725708,,6000,,,-56.432991799999996,100.0
100.0,84,,,,,-60.76120803333334,6000,60,71,,
100.0,86,10.269351959228516,6299,0.001,0.02428293228149414,-60.194424,6400,64,74,,
,,10.502494812011719,6399,0.001,0.031272631138563156,,6500,,,-57.848102919999995,100.0
