rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed,train/actor_loss,train/n_updates,time/total_timesteps,time/episodes,eval/mean_ep_length,eval/mean_reward
-30.4498515,245,50.0,0.1374000906944275,0.001,0,0.8323578238487244,99,200,4,,
-20.24454025,196,50.0,0.008547420613467693,0.001,2,0.7893249988555908,299,400,8,,
,,,0.005921514704823494,0.001,,0.7897469997406006,399,500,,50.0,-11.39024634
-17.394642833333332,116,50.0,0.00465575372800231,0.001,5,0.8243569135665894,499,600,12,,
-16.360021312500002,127,50.0,0.0112982839345932,0.001,6,0.9514085650444031,699,800,16,,
,,,0.018351081758737564,0.001,,1.0515766143798828,899,1000,,50.0,-11.101040440000002
-15.748097500000004,107,50.0,,,9,,,1000,20,,
-14.617216458333333,113,50.0,0.03150816261768341,0.001,10,1.1938581466674805,1099,1200,24,,
-13.871281071428571,119,50.0,0.026790030300617218,0.001,11,1.4064867496490479,1299,1400,28,,
,,,0.03411395847797394,0.001,,1.4235422611236572,1399,1500,,50.0,-11.175668699999996
-13.518376125,107,50.0,0.0354967825114727,0.001,14,1.4979194402694702,1499,1600,32,,
-13.030142972222222,111,50.0,0.025399450212717056,0.001,16,1.6246795654296875,1699,1800,36,,
,,,0.04230928793549538,0.001,,1.7766343355178833,1899,2000,,50.0,-11.321886960000002
-12.5896729,104,50.0,,,19,,,2000,40,,
-12.369297613636366,108,50.0,0.03887205570936203,0.001,20,1.8203673362731934,2099,2200,44,,
-12.025944958333334,111,50.0,0.037451714277267456,0.001,21,2.0696706771850586,2299,2400,48,,
,,,0.036966968327760696,0.001,,2.161468982696533,2399,2500,,50.0,-10.211203119999999
-11.915653461538463,105,50.0,0.025152718648314476,0.001,24,2.1302950382232666,2499,2600,52,,
-11.92285082142857,108,50.0,0.035037700086832047,0.001,25,2.304320812225342,2699,2800,56,,
,,,0.030568618327379227,0.001,,2.4990451335906982,2899,3000,,50.0,-10.05262854
-11.922998483333332,103,50.0,,,28,,,3000,60,,
-11.72591890625,106,50.0,0.02806919999420643,0.001,30,2.6640729904174805,3099,3200,64,,
-11.375836941176471,108,50.0,0.029482491314411163,0.001,31,2.7440810203552246,3299,3400,68,,
,,,0.030977854505181313,0.001,,2.7632763385772705,3399,3500,,50.0,-9.595269140000001
-11.211988,103,50.0,0.024223413318395615,0.001,34,2.871150493621826,3499,3600,72,,
-11.052710144736842,105,50.0,0.04516899585723877,0.001,36,2.8941006660461426,3699,3800,76,,
,,,0.02436843141913414,0.001,,3.107175827026367,3899,4000,,50.0,-9.04818108
-10.9221221625,100,50.0,,,39,,,4000,80,,
-10.736712404761906,102,50.0,0.01866559498012066,0.001,41,3.127469539642334,4099,4200,84,,
-10.648385193181818,103,50.0,0.023257680237293243,0.001,42,3.3026859760284424,4299,4400,88,,
,,,0.020957719534635544,0.001,,3.2817015647888184,4399,4500,,50.0,-8.844127979999998
-10.496362586956522,100,50.0,0.025061486288905144,0.001,45,3.3566722869873047,4499,4600,92,,
-10.393326510416667,102,50.0,0.03547806665301323,0.001,46,3.3878493309020996,4699,4800,96,,
,,,0.02948719821870327,0.001,,3.570894479751587,4899,5000,,50.0,-8.77392082
-10.28143917,100,50.0,,,49,,,5000,100,,
-9.399193270000001,101,50.0,0.026547089219093323,0.001,51,3.7514686584472656,5099,5200,104,,
-9.393096080000001,102,50.0,0.03406790643930435,0.001,52,3.9092042446136475,5299,5400,108,,
,,,0.02812832221388817,0.001,,3.8980138301849365,5399,5500,,50.0,-8.87010878
-9.292328270000002,100,50.0,0.030609622597694397,0.001,55,3.9464752674102783,5499,5600,112,,
-9.195326950000002,102,50.0,0.02430082857608795,0.001,56,4.006814002990723,5699,5800,116,,
,,,0.038446806371212006,0.001,,4.213326454162598,5899,6000,,50.0,-8.94152716
-8.994897909999999,100,50.0,,,59,,,6000,120,,
-8.92355575,101,50.0,0.022283684462308884,0.001,61,4.178843021392822,6099,6200,124,,
-8.84184076,102,50.0,0.02613736130297184,0.001,62,4.440796375274658,6299,6400,128,,
,,,0.029019683599472046,0.001,,4.462489604949951,6399,6500,,50.0,-8.82859146
-8.811545,101,50.0,0.025197351351380348,0.001,65,4.448182106018066,6499,6600,132,,
-8.69250422,102,50.0,0.026129120960831642,0.001,66,4.572174072265625,6699,6800,136,,
,,,0.025621358305215836,0.001,,4.7012939453125,6899,7000,,50.0,-8.89160412
-8.693990610000002,100,50.0,,,69,,,7000,140,,
-8.59583055,101,50.0,0.02587994933128357,0.001,70,4.80872917175293,7099,7200,144,,
-8.570834600000001,102,50.0,0.03451663255691528,0.001,72,5.00029993057251,7299,7400,148,,
,,,0.03073783591389656,0.001,,4.998967170715332,7399,7500,,50.0,-8.826899319999999
-8.42021664,101,50.0,0.032202135771512985,0.001,75,5.073329925537109,7499,7600,152,,
-8.29964195,102,50.0,0.034909188747406006,0.001,76,5.161616802215576,7699,7800,156,,
,,,0.03056401200592518,0.001,,5.297192573547363,7899,8000,,50.0,-8.286190340000001
-8.22984567,100,50.0,,,79,,,8000,160,,
-8.27947891,101,50.0,0.02617623656988144,0.001,80,5.387798309326172,8099,8200,164,,
-8.43393354,102,50.0,0.03221702203154564,0.001,82,5.535009384155273,8299,8400,168,,
