train/learning_rate,train/critic_loss,eval/mean_reward,time/total_timesteps,train/n_updates,eval/mean_ep_length,train/actor_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed
0.001,0.0021524252369999886,46.80650185999999,500,399,1000.0,-0.4838245213031769,,,,,
0.001,0.001722521148622036,27.6012494,1000,899,1000.0,-0.4688701629638672,,,,,
0.001,0.00676212552934885,13.003931600000001,1500,1399,1000.0,-0.6588658094406128,,,,,
0.001,0.011921379715204239,33.943652119999996,2000,1899,1000.0,-0.7735774517059326,,,,,
0.001,0.006358747836202383,39.389836079999995,2500,2399,1000.0,-0.7651531100273132,,,,,
0.001,0.006171028129756451,47.561763420000005,3000,2899,1000.0,-1.1290032863616943,,,,,
0.001,0.014835349284112453,41.460991539999995,3500,3399,1000.0,-1.238001823425293,,,,,
0.001,0.0067467703483998775,38.455224539999996,4000,3899,1000.0,-1.172155499458313,,,,,
,,,4000,,,,11,41.0116605,1000.0,4,344
0.001,0.013590334914624691,41.63374288,4500,4399,1000.0,-1.1853233575820923,,,,,
0.001,0.018964115530252457,36.34785416,5000,4899,1000.0,-1.2804617881774902,,,,,
0.001,0.021784385666251183,36.252697860000005,5500,5399,1000.0,-1.4021427631378174,,,,,
0.001,0.011635802686214447,37.699415640000005,6000,5899,1000.0,-1.463087797164917,,,,,
0.001,0.026303008198738098,11.6043366,6500,6399,1000.0,-1.9571654796600342,,,,,
0.001,0.026731960475444794,40.91368598,7000,6899,1000.0,-1.7200140953063965,,,,,
0.001,0.03636515140533447,-4.93715846,7500,7399,1000.0,-1.6808478832244873,,,,,
0.001,0.0914958044886589,56.57551858,8000,7899,1000.0,-1.853628396987915,,,,,
,,,8000,,,,11,38.97790075,1000.0,8,688
0.001,0.11498802155256271,28.937005219999996,8500,8399,1000.0,-2.717285633087158,,,,,
0.001,0.11817848682403564,22.02097854,9000,8899,1000.0,-3.1644222736358643,,,,,
0.001,0.06278516352176666,18.17309608,9500,9399,1000.0,-3.1782233715057373,,,,,
0.001,0.0797758549451828,25.41673542,10000,9899,1000.0,-3.382791042327881,,,,,
0.001,0.03924880176782608,24.37673608,10500,10399,1000.0,-3.4302759170532227,,,,,
0.001,0.0501585379242897,-0.13969737999999998,11000,10899,1000.0,-4.7820234298706055,,,,,
0.001,0.08074373006820679,-3.7377408199999995,11500,11399,1000.0,-5.43353271484375,,,,,
0.001,0.03816025331616402,1.5132934199999994,12000,11899,1000.0,-6.723435401916504,,,,,
,,,12000,,,,11,31.124430083333337,1000.0,12,1031
0.001,0.07163763046264648,40.24808694,12500,12399,1000.0,-6.900768280029297,,,,,
0.001,0.03403802961111069,-19.249549299999998,13000,12899,1000.0,-6.149022102355957,,,,,
0.001,0.0646716058254242,22.954892880000006,13500,13399,1000.0,-6.708620071411133,,,,,
0.001,0.06987515091896057,25.772062840000004,14000,13899,1000.0,-6.938817977905273,,,,,
0.001,0.03672882169485092,37.593449480000004,14500,14399,1000.0,-6.20184326171875,,,,,
0.001,0.04186038300395012,37.25482952,15000,14899,1000.0,-6.843827247619629,,,,,
0.001,0.05710204690694809,39.13786232000001,15500,15399,1000.0,-7.405163764953613,,,,,
0.001,0.03970988839864731,51.28088182,16000,15899,1000.0,-7.7184858322143555,,,,,
,,,16000,,,,11,31.575188062499997,1000.0,16,1373
0.001,0.07680399715900421,50.8243649,16500,16399,1000.0,-6.937705039978027,,,,,
0.001,0.05115978419780731,41.6317307,17000,16899,1000.0,-7.916805267333984,,,,,
0.001,0.07452182471752167,12.96096356,17500,17399,1000.0,-7.472496032714844,,,,,
0.001,0.08674091845750809,13.705574659999998,18000,17899,1000.0,-8.205368041992188,,,,,
0.001,0.1081199049949646,13.98854112,18500,18399,1000.0,-8.989533424377441,,,,,
0.001,0.04996974766254425,13.52416322,19000,18899,1000.0,-11.096969604492188,,,,,
0.001,0.0975315198302269,24.415748020000006,19500,19399,1000.0,-11.410967826843262,,,,,
0.001,0.08653592318296432,26.83577828,20000,19899,1000.0,-11.922826766967773,,,,,
,,,20000,,,,11,31.57319344999999,1000.0,20,1714
0.001,0.06403356045484543,23.796232759999995,20500,20399,1000.0,-12.842334747314453,,,,,
0.001,0.11433923989534378,45.337145740000004,21000,20899,1000.0,-13.168439865112305,,,,,
0.001,0.10308502614498138,22.743223920000002,21500,21399,1000.0,-15.488870620727539,,,,,
0.001,0.060633838176727295,23.99768742,22000,21899,1000.0,-14.819559097290039,,,,,
0.001,0.0751599371433258,26.510817460000002,22500,22399,1000.0,-18.044509887695312,,,,,
0.001,0.14668937027454376,18.6745788,23000,22899,1000.0,-17.29534912109375,,,,,
0.001,0.09595292806625366,23.676298739999996,23500,23399,1000.0,-19.657756805419922,,,,,
0.001,0.07272979617118835,24.188038459999998,24000,23899,1000.0,-20.173433303833008,,,,,
,,,24000,,,,11,30.073140916666663,1000.0,24,2057
0.001,0.10617227852344513,22.751159260000005,24500,24399,1000.0,-21.1608943939209,,,,,
0.001,0.11195924878120422,22.787045159999998,25000,24899,1000.0,-23.612138748168945,,,,,
0.001,0.17257899045944214,20.934994880000005,25500,25399,1000.0,-24.967464447021484,,,,,
0.001,0.15296955406665802,21.168252699999996,26000,25899,1000.0,-23.85396957397461,,,,,
0.001,0.12750476598739624,19.329581259999998,26500,26399,1000.0,-23.343013763427734,,,,,
0.001,0.12803812325000763,23.9145763,27000,26899,1000.0,-26.066089630126953,,,,,
0.001,0.11156480014324188,28.8868514,27500,27399,1000.0,-28.738597869873047,,,,,
0.001,0.13440242409706116,21.037949939999997,28000,27899,1000.0,-27.628149032592773,,,,,
,,,28000,,,,11,29.52509003571428,1000.0,28,2398
0.001,0.15239623188972473,19.21517486,28500,28399,1000.0,-29.96686553955078,,,,,
0.001,0.1314697265625,16.31919832,29000,28899,1000.0,-31.607017517089844,,,,,
0.001,0.1254540979862213,14.101448739999999,29500,29399,1000.0,-30.925127029418945,,,,,
0.001,0.12307848036289215,33.076394,30000,29899,1000.0,-34.35004425048828,,,,,
0.001,0.14929839968681335,27.273576999999996,30500,30399,1000.0,-34.11680603027344,,,,,
0.001,0.13844168186187744,24.079980619999997,31000,30899,1000.0,-35.24943923950195,,,,,
0.001,0.13318893313407898,23.4679249,31500,31399,1000.0,-36.57866287231445,,,,,
0.001,0.061345670372247696,-12.613146480000001,32000,31899,1000.0,-38.526039123535156,,,,,
,,,32000,,,,11,28.110880375,1000.0,32,2740
0.001,0.15318697690963745,-14.5861659,32500,32399,1000.0,-39.65978240966797,,,,,
0.001,0.11670772731304169,-14.881092220000001,33000,32899,1000.0,-41.022151947021484,,,,,
0.001,0.08737215399742126,-13.955678060000002,33500,33399,1000.0,-41.598419189453125,,,,,
0.001,0.0926683098077774,33.41515016,34000,33899,1000.0,-42.41576385498047,,,,,
