time/episodes,train/learning_rate,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_len_mean,train/critic_loss,time/fps,rollout/ep_rew_mean,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
4,0.001,120,0.30543404817581177,19,30.0,0.4597325921058655,391,7.121275749999999,0,,
8,0.001,397,0.2925475239753723,296,49.625,0.015768902376294136,231,-15.621353749999999,1,,
,0.001,500,0.2958254814147949,399,,0.01031615398824215,,,,68.26,-10.69440366
12,0.001,671,0.11166016757488251,570,55.916666666666664,0.02090652659535408,115,-14.495990583333333,5,,
,0.001,1000,-0.23023627698421478,899,,0.1271008402109146,,,,256.1,214.11249008
,0.001,1500,-2.015479326248169,1399,,0.027860797941684723,,,,206.94,181.60595353999997
16,0.001,1876,-3.1075987815856934,1775,117.25,0.04407074674963951,62,50.30860137500001,30,,
,0.001,2000,-3.2557458877563477,1899,,0.05604807287454605,,,,258.18,176.97150018
,0.001,2500,-4.467955589294434,2399,,0.06499621272087097,,,,988.14,949.38579248
,0.001,3000,-6.057971954345703,2899,,0.6493271589279175,,,,540.4,461.85057378
,0.001,3500,-6.683250427246094,3399,,0.2067919671535492,,,,349.72,247.73170670000002
20,0.001,3555,-6.869287490844727,3454,177.75,0.19619044661521912,29,117.35443185000004,121,,
24,0.001,3594,-7.1726789474487305,3493,149.75,0.38698968291282654,29,97.12089833333334,121,,
28,0.001,3629,-6.151925086975098,3528,129.60714285714286,0.7293238639831543,29,82.8301210357143,122,,
32,0.001,3672,-6.233919143676758,3571,114.75,0.24999652802944183,30,72.31749987500001,122,,
36,0.001,3709,-6.236611843109131,3608,103.02777777777777,0.16870051622390747,30,63.965925999999996,122,,
40,0.001,3766,-6.567649841308594,3665,94.15,0.23563216626644135,30,57.768621374999995,122,,
44,0.001,3824,-6.552773475646973,3723,86.9090909090909,0.3754768967628479,31,52.76073588636363,123,,
,0.001,4000,-7.282330513000488,3899,,1.5467987060546875,,,,346.8,468.39057864
48,0.001,4365,-9.681763648986816,4264,90.9375,0.6171005964279175,31,61.50468395833334,139,,
52,0.001,4439,-9.826583862304688,4338,85.36538461538461,0.6525369882583618,31,56.31728128846154,140,,
,0.001,4500,-9.861928939819336,4399,,1.2580373287200928,,,,28.96,4.36008418
56,0.001,4558,-9.889310836791992,4457,81.39285714285714,0.5753046870231628,32,52.61027664285715,141,,
60,0.001,4813,-10.28237533569336,4712,80.21666666666667,1.043545126914978,33,50.57000765,143,,
,0.001,5000,-10.660711288452148,4899,,0.4702373743057251,,,,91.7,11.169770179999995
64,0.001,5156,-10.181554794311523,5055,80.5625,0.6767842769622803,34,46.907975718749995,148,,
68,0.001,5497,-11.30755615234375,5396,80.83823529411765,2.7240211963653564,36,46.79649244117647,150,,
,0.001,5500,-11.760884284973145,5399,,1.1660375595092773,,,,207.3,215.72220480000004
,0.001,6000,-12.23513412475586,5899,,0.4976239502429962,,,,222.54,248.31022256
72,0.001,6219,-13.931638717651367,6118,86.375,2.0782523155212402,36,57.44906786111111,170,,
,0.001,6500,-14.378726959228516,6399,,1.0457497835159302,,,,270.78,353.15727394000004
,0.001,7000,-16.41702651977539,6899,,0.7523068189620972,,,,211.98,198.64250829999997
76,0.001,7042,-16.869770050048828,6941,92.65789473684211,1.8739979267120361,36,66.92940725,194,,
,0.001,7500,-17.892227172851562,7399,,0.6515002250671387,,,,220.8,281.93552884
,0.001,8000,-19.27874183654785,7899,,1.4197680950164795,,,,244.92,202.39802687999997
80,0.001,8010,-18.326913833618164,7909,100.125,1.76874840259552,36,76.289365525,218,,
,0.001,8500,-18.538558959960938,8399,,1.1626044511795044,,,,197.22,144.09224644
84,0.001,8891,-21.12139892578125,8790,105.8452380952381,1.4792530536651611,38,81.83625719047618,230,,
,0.001,9000,-19.861804962158203,8899,,1.0544867515563965,,,,215.66,120.71980878000001
,0.001,9500,-21.812767028808594,9399,,1.92897629737854,,,,183.82,197.52684482
88,0.001,9889,-22.698232650756836,9788,112.375,1.328409194946289,39,91.50281564772727,251,,
,0.001,10000,-23.161170959472656,9899,,1.8638389110565186,,,,279.2,316.68749594
,0.001,10500,-23.944232940673828,10399,,1.4192194938659668,,,,206.66,304.31098393999997
92,0.001,10850,-25.038270950317383,10749,117.93478260869566,1.5468499660491943,39,97.16906466304349,276,,
,0.001,11000,-24.277328491210938,10899,,2.0506834983825684,,,,199.98,271.99012674
,0.001,11500,-25.466529846191406,11399,,1.7564175128936768,,,,213.94,327.61111774
96,0.001,11588,-27.11416244506836,11487,120.70833333333333,2.1884396076202393,39,105.82310663541666,296,,
,0.001,12000,-27.39723777770996,11899,,2.3065264225006104,,,,209.08,320.68397216
,0.001,12500,-29.252641677856445,12399,,5.307533264160156,,,,234.56,297.04850646
100,0.001,12645,-29.48356819152832,12544,126.45,2.8222899436950684,39,117.06483624,319,,
,0.001,13000,-29.34424591064453,12899,,2.002500057220459,,,,259.72,295.86619973999996
,0.001,13500,-30.497730255126953,13399,,3.2800374031066895,,,,252.0,296.53792792
104,0.001,13843,-30.74066162109375,13742,137.23,8.036258697509766,40,132.95111761,345,,
,0.001,14000,-32.921173095703125,13899,,3.8686373233795166,,,,213.16,292.10093586
,0.001,14500,-32.00118637084961,14399,,3.701831817626953,,,,180.4,151.0291062
108,0.001,14682,-33.586585998535156,14581,142.85,4.929383277893066,40,143.5344976,365,,
,0.001,15000,-33.37746810913086,14899,,10.768031120300293,,,,291.88,349.32195307999996
,0.001,15500,-31.6593017578125,15399,,5.410460948944092,,,,340.0,336.24057966
,0.001,16000,-35.02183532714844,15899,,3.267845630645752,,,,208.0,225.59707279999998
112,0.001,16022,-33.716304779052734,15921,153.51,3.4445247650146484,39,154.13855198,405,,
,0.001,16500,-34.598384857177734,16399,,4.56205940246582,,,,196.92,247.61824276
,0.001,17000,-36.28022384643555,16899,,4.193394660949707,,,,149.54,103.57778262000002
116,0.001,17011,-34.32786560058594,16910,151.35,4.352227687835693,40,156.99329475000002,424,,
,0.001,17500,-34.78827667236328,17399,,4.46670389175415,,,,195.42,282.9422725
120,0.001,17691,-35.48703384399414,17590,141.36,4.2338972091674805,40,146.66995823,435,,
,0.001,18000,-36.622283935546875,17899,,7.090078353881836,,,,230.22,327.33558474
124,0.001,18491,-37.25853729248047,18390,148.97,5.8800835609436035,41,159.36216797999998,449,,
,0.001,18500,-35.54447937011719,18399,,6.406256675720215,,,,182.34,285.97981104
,0.001,19000,-38.30860137939453,18899,,4.7262420654296875,,,,137.22,222.52764684
128,0.001,19220,-37.94037628173828,19119,155.91,5.594202518463135,41,171.66350799,465,,
,0.001,19500,-38.810916900634766,19399,,5.655054569244385,,,,136.12,233.60329951999995
132,0.001,19736,-38.99427032470703,19635,160.64,8.481651306152344,41,181.18621826999998,473,,
,0.001,20000,-40.703529357910156,19899,,6.307570934295654,,,,130.56,191.9753651
136,0.001,20194,-41.650726318359375,20093,164.85,15.551895141601562,41,190.03374996,480,,
,0.001,20500,-40.64472961425781,20399,,35.68220520019531,,,,105.52,180.30045104
140,0.001,20615,-41.969573974609375,20514,168.49,13.800898551940918,42,197.39224934000006,487,,
,0.001,21000,-41.291786193847656,20899,,7.317554950714111,,,,135.9,243.3226286
144,0.001,21064,-41.67570877075195,20963,172.4,7.054497718811035,42,204.46913077000002,495,,
,0.001,21500,-41.302833557128906,21399,,7.912698268890381,,,,129.08,225.56277412000003
148,0.001,21551,-43.32222366333008,21450,171.86,6.512143135070801,42,207.47879342,502,,
,0.001,22000,-44.83233642578125,21899,,6.799983978271484,,,,147.66,256.49872962
152,0.001,22099,-44.10223388671875,21998,176.6,5.032592296600342,43,215.20770368000004,510,,
,0.001,22500,-46.41302490234375,22399,,6.648809432983398,,,,189.08,284.5408393
156,0.001,22747,-46.74118423461914,22646,181.89,6.229763031005859,43,226.04540404,521,,
,0.001,23000,-45.81481170654297,22899,,8.11752700805664,,,,145.5,187.21149068
160,0.001,23245,-47.74108123779297,23144,184.32,4.552791595458984,43,230.45700820000002,529,,
,0.001,23500,-47.60273742675781,23399,,8.188706398010254,,,,240.9,176.34974955999994
164,0.001,23925,-48.89131164550781,23824,187.69,8.1455659866333,44,241.34457236999998,542,,
,0.001,24000,-49.4518928527832,23899,,6.461801528930664,,,,176.06,112.69701707999998
,0.001,24500,-49.70988464355469,24399,,7.084689617156982,,,,214.7,131.97139004000002
168,0.001,24797,-50.862060546875,24696,193.0,13.901270866394043,44,245.22582172,562,,
,0.001,25000,-51.950408935546875,24899,,5.694211959838867,,,,223.62,225.19278312000006
,0.001,25500,-49.373451232910156,25399,,8.830708503723145,,,,259.52,244.2108121
172,0.001,25802,-52.231388092041016,25701,195.83,7.204435348510742,43,243.47934887000002,586,,
